GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T1D	gained_vs_control	OCT4+SOX2	3-cyt	DA0221	8	6	6.0	-0.96511	0.41832	0.98947	0.9956541874999999	insufficient
T1D	gained_vs_control	OCT4+SOX2	Ex-4_HG	DA0222	2	2	2.0	0.051049	0.96494	0.4789	0.9017883040935674	insufficient
T1D	gained_vs_control	OCT4+SOX2	IFNg	DA0223	3	2	2.0	-0.015255	0.88658	0.50686	0.9117429999999999	insufficient
T1D	gained_vs_control	OCT4+SOX2	dex	DA0224	7	3	3.0	1.1132	0.69688	0.055099	0.38389779166666665	insufficient
T1D	gained_vs_control	OCT4+SOX2	palmitate	DA0225	6	3	3.0	-0.12757	0.66245	0.57635	0.9341559798994975	insufficient
T1D	gained_vs_control	OSR2	3-cyt	DA0226	220	142	142.0	-0.032973	0.091885	0.64014	0.9502412903225805	primary
T1D	gained_vs_control	OSR2	Ex-4_HG	DA0227	58	35	35.0	-0.41187	0.1986	0.98095	0.9956541874999999	primary
T1D	gained_vs_control	OSR2	IFNg	DA0228	25	12	12.0	0.054308	0.32291	0.43322	0.8559150303030303	exploratory
T1D	gained_vs_control	OSR2	dex	DA0229	587	364	364.0	0.011919	0.058427	0.41918	0.8559150303030303	primary
T1D	gained_vs_control	OSR2	palmitate	DA0230	110	66	66.0	-0.35616	0.14311	0.99359	0.9966852959501556	primary
T1D	gained_vs_control	PAX/1	3-cyt	DA0231	124	57	57.0	-0.20681	0.14192	0.92746	0.993261980830671	primary
T1D	gained_vs_control	PAX/1	Ex-4_HG	DA0232	139	66	66.0	-0.059105	0.13399	0.67043	0.9574593991416309	primary
T1D	gained_vs_control	PAX/1	IFNg	DA0233	79	37	37.0	-0.083384	0.17056	0.68754	0.9574593991416309	primary
T1D	gained_vs_control	PAX/1	dex	DA0234	41	27	27.0	-0.014877	0.21492	0.52759	0.914618494623656	exploratory
T1D	gained_vs_control	PAX/1	palmitate	DA0235	153	76	76.0	0.058068	0.12146	0.31629	0.8559150303030303	primary
T1D	gained_vs_control	POU/1	3-cyt	DA0236	71	27	27.0	-0.14992	0.22211	0.75015	0.9913178169014085	exploratory
T1D	gained_vs_control	POU/1	Ex-4_HG	DA0237	78	35	35.0	-0.098796	0.17625	0.71244	0.9706555833333332	primary
T1D	gained_vs_control	POU/1	IFNg	DA0238	80	25	25.0	0.0073081	0.21296	0.48631	0.9073305084745763	exploratory
T1D	gained_vs_control	POU/1	dex	DA0239	103	39	39.0	-0.055568	0.17267	0.6262	0.9500965258215963	primary
T1D	gained_vs_control	POU/1	palmitate	DA0240	115	49	49.0	-0.2236	0.14354	0.94035	0.993261980830671	primary
T1D	gained_vs_control	POU/2	3-cyt	DA0241	22	7	7.0	0.29457	0.39453	0.22765	0.7404373737373736	insufficient
T1D	gained_vs_control	POU/2	Ex-4_HG	DA0242	19	8	8.0	-0.36557	0.37886	0.8327	0.9913178169014085	insufficient
T1D	gained_vs_control	POU/2	IFNg	DA0243	16	8	8.0	-0.27051	0.37227	0.76628	0.9913178169014085	insufficient
T1D	gained_vs_control	POU/2	dex	DA0244	13	5	5.0	-0.50192	0.55542	0.81691	0.9913178169014085	insufficient
T1D	gained_vs_control	POU/2	palmitate	DA0245	26	9	9.0	-0.27165	0.34441	0.78486	0.9913178169014085	insufficient
T1D	gained_vs_control	PRDM1	3-cyt	DA0246	1194	656	655.0	0.017037	0.043494	0.34764	0.8559150303030303	primary
T1D	gained_vs_control	PRDM1	Ex-4_HG	DA0247	109	61	61.0	-0.080155	0.14292	0.71254	0.9706555833333332	primary
T1D	gained_vs_control	PRDM1	IFNg	DA0248	866	482	481.0	0.07992	0.049635	0.053691	0.38389779166666665	primary
T1D	gained_vs_control	PRDM1	dex	DA0249	98	55	55.0	0.11874	0.15295	0.21879	0.7262925773195877	primary
T1D	gained_vs_control	PRDM1	palmitate	DA0250	207	127	127.0	0.032985	0.094827	0.36398	0.8559150303030303	primary
T1D	gained_vs_control	PRDM14	3-cyt	DA0251	49	26	26.0	0.56674	0.21137	0.0036708	0.12700324000000002	exploratory
T1D	gained_vs_control	PRDM14	Ex-4_HG	DA0252	39	15	15.0	-0.050873	0.26082	0.57732	0.9341559798994975	exploratory
T1D	gained_vs_control	PRDM14	IFNg	DA0253	49	20	20.0	0.52005	0.23587	0.013741	0.2644128421052631	exploratory
T1D	gained_vs_control	PRDM14	dex	DA0254	29	13	13.0	0.10994	0.29728	0.35576	0.8559150303030303	exploratory
T1D	gained_vs_control	PRDM14	palmitate	DA0255	47	23	23.0	0.53889	0.2279	0.0090315	0.22471636923076924	exploratory
T1D	gained_vs_control	REST/NRSF	3-cyt	DA0256	735	463	463.0	0.021057	0.050729	0.33904	0.8559150303030303	primary
T1D	gained_vs_control	REST/NRSF	Ex-4_HG	DA0257	526	345	345.0	0.025887	0.058551	0.3292	0.8559150303030303	primary
T1D	gained_vs_control	REST/NRSF	IFNg	DA0258	920	595	595.0	-0.0031816	0.044783	0.52832	0.914618494623656	primary
T1D	gained_vs_control	REST/NRSF	dex	DA0259	303	188	188.0	-0.037661	0.078584	0.68412	0.9574593991416309	primary
T1D	gained_vs_control	REST/NRSF	palmitate	DA0260	578	379	379.0	-0.01082	0.057096	0.57515	0.9341559798994975	primary
T1D	gained_vs_control	RFX/1	3-cyt	DA0261	1922	1287	1287.0	-0.023574	0.031378	0.77375	0.9913178169014085	primary
T1D	gained_vs_control	RFX/1	Ex-4_HG	DA0262	2169	1412	1411.0	0.015705	0.030199	0.30151	0.8405310344827587	primary
T1D	gained_vs_control	RFX/1	IFNg	DA0263	1946	1287	1287.0	0.00038352	0.031111	0.49508	0.9073305084745763	primary
T1D	gained_vs_control	RFX/1	dex	DA0264	2630	1760	1759.0	0.021155	0.027021	0.21684	0.7262925773195877	primary
T1D	gained_vs_control	RFX/1	palmitate	DA0265	2107	1374	1373.0	-0.0037223	0.029956	0.54944	0.9254984374999999	primary
T1D	gained_vs_control	RFX/2	3-cyt	DA0266	785	452	451.0	0.11836	0.051012	0.010168	0.23386400000000002	primary
T1D	gained_vs_control	RFX/2	Ex-4_HG	DA0267	607	361	361.0	0.17137	0.05888	0.0018072	0.09698639999999999	primary
T1D	gained_vs_control	RFX/2	IFNg	DA0268	630	355	355.0	0.010383	0.058292	0.42931	0.8559150303030303	primary
T1D	gained_vs_control	RFX/2	dex	DA0269	847	515	514.0	0.018582	0.049652	0.35411	0.8559150303030303	primary
T1D	gained_vs_control	RFX/2	palmitate	DA0270	609	361	361.0	0.10368	0.05788	0.036629	0.3119332631578947	primary
T1D	gained_vs_control	RFX/3	3-cyt	DA0271	413	237	237.0	-0.12143	0.069586	0.9595	0.993261980830671	primary
T1D	gained_vs_control	RFX/3	Ex-4_HG	DA0272	193	108	108.0	-0.29803	0.099156	0.99867	0.99867	primary
T1D	gained_vs_control	RFX/3	IFNg	DA0273	228	91	91.0	-0.11118	0.10621	0.85239	0.9913178169014085	primary
T1D	gained_vs_control	RFX/3	dex	DA0274	1275	735	735.0	-0.047238	0.039932	0.88158	0.9925481118881119	primary
T1D	gained_vs_control	RFX/3	palmitate	DA0275	393	217	217.0	-0.043431	0.074072	0.72117	0.9706555833333332	primary
T1D	gained_vs_control	SCRT1	3-cyt	DA0276	3	2	2.0	1.0188	0.89775	0.12823	0.5292070000000001	insufficient
T1D	gained_vs_control	SCRT1	Ex-4_HG	DA0277	6	2	2.0	-0.73102	0.53154	0.91547	0.993261980830671	insufficient
T1D	gained_vs_control	SCRT1	IFNg	DA0278	9	4	4.0	0.10292	0.48354	0.41573	0.8559150303030303	insufficient
T1D	gained_vs_control	SCRT1	dex	DA0279	1	1						insufficient
T1D	gained_vs_control	SCRT1	palmitate	DA0280	8	2	2.0	-1.6133	1.0548	0.93691	0.993261980830671	insufficient
T1D	gained_vs_control	SMAD	3-cyt	DA0281	534	257	257.0	0.14705	0.067746	0.014989	0.2644128421052631	primary
T1D	gained_vs_control	SMAD	Ex-4_HG	DA0282	540	254	254.0	0.019691	0.068644	0.38711	0.8559150303030303	primary
T1D	gained_vs_control	SMAD	IFNg	DA0283	354	153	153.0	-0.022231	0.086854	0.60101	0.9440254634146342	primary
T1D	gained_vs_control	SMAD	dex	DA0284	1325	724	724.0	-0.0045842	0.041219	0.54428	0.923174	primary
T1D	gained_vs_control	SMAD	palmitate	DA0285	690	324	324.0	0.083315	0.060647	0.084765	0.45830400000000004	primary
T1D	gained_vs_control	SNAI2	3-cyt	DA0286	4	2	2.0	-0.37935	0.79365	0.68367	0.9574593991416309	insufficient
T1D	gained_vs_control	SNAI2	Ex-4_HG	DA0287	0	0						insufficient
T1D	gained_vs_control	SNAI2	IFNg	DA0288	0	0						insufficient
T1D	gained_vs_control	SNAI2	dex	DA0289	3	1						insufficient
T1D	gained_vs_control	SNAI2	palmitate	DA0290	0	0						insufficient
T1D	gained_vs_control	SOX/8	3-cyt	DA0291	19	10	10.0	-0.076997	0.33827	0.59003	0.9440254634146342	exploratory
T1D	gained_vs_control	SOX/8	Ex-4_HG	DA0292	23	12	12.0	-0.37782	0.3516	0.85871	0.9913178169014085	exploratory
T1D	gained_vs_control	SOX/8	IFNg	DA0293	9	7	7.0	0.24459	0.43636	0.28757	0.82917875	insufficient
T1D	gained_vs_control	SOX/8	dex	DA0294	2	0						insufficient
T1D	gained_vs_control	SOX/8	palmitate	DA0295	17	14	14.0	-0.20631	0.27549	0.77303	0.9913178169014085	exploratory
T1D	gained_vs_control	TFAP2/2	3-cyt	DA0296	202	138	138.0	0.016035	0.091939	0.43077	0.8559150303030303	primary
T1D	gained_vs_control	TFAP2/2	Ex-4_HG	DA0297	195	143	143.0	-0.032219	0.094578	0.63332	0.9502412903225805	primary
T1D	gained_vs_control	TFAP2/2	IFNg	DA0298	169	121	121.0	0.10491	0.10072	0.14882	0.5672124705882353	primary
T1D	gained_vs_control	TFAP2/2	dex	DA0299	241	163	163.0	0.045146	0.08736	0.30266	0.8405310344827587	primary
T1D	gained_vs_control	TFAP2/2	palmitate	DA0300	214	156	156.0	0.18606	0.092562	0.022218	0.2797352	primary
T1D	gained_vs_control	YY1	3-cyt	DA0301	766	473	473.0	0.094132	0.050204	0.030406	0.2797352	primary
T1D	gained_vs_control	YY1	Ex-4_HG	DA0302	669	413	413.0	0.09404	0.054082	0.041041	0.33885133333333334	primary
T1D	gained_vs_control	YY1	IFNg	DA0303	400	250	250.0	0.17576	0.066147	0.0039442	0.12700324000000002	primary
T1D	gained_vs_control	YY1	dex	DA0304	700	440	440.0	0.099956	0.052812	0.029209	0.2797352	primary
T1D	gained_vs_control	YY1	palmitate	DA0305	986	640	639.0	0.045341	0.043698	0.14973	0.5672124705882353	primary
T1D	gained_vs_control	ZBTB14	3-cyt	DA0306	1617	1058	1057.0	0.045397	0.034378	0.093339	0.45830400000000004	primary
T1D	gained_vs_control	ZBTB14	Ex-4_HG	DA0307	1818	1186	1185.0	0.029074	0.032521	0.18566	0.64981	primary
T1D	gained_vs_control	ZBTB14	IFNg	DA0308	1773	1204	1203.0	-0.0036279	0.032288	0.54473	0.923174	primary
T1D	gained_vs_control	ZBTB14	dex	DA0309	2655	1796	1795.0	-0.010466	0.027229	0.64964	0.9551784474885845	primary
T1D	gained_vs_control	ZBTB14	palmitate	DA0310	1941	1296	1295.0	0.0072614	0.031701	0.40941	0.8559150303030303	primary
T1D	gained_vs_control	ZIC/2	3-cyt	DA0311	304	203	203.0	0.051792	0.07535	0.24593	0.768829708737864	primary
T1D	gained_vs_control	ZIC/2	Ex-4_HG	DA0312	251	163	163.0	0.09438	0.085242	0.13411	0.5331286419753087	primary
T1D	gained_vs_control	ZIC/2	IFNg	DA0313	144	97	97.0	0.22765	0.10827	0.017754	0.27222799999999997	primary
T1D	gained_vs_control	ZIC/2	dex	DA0314	220	149	149.0	0.14107	0.089314	0.057124	0.38389779166666665	primary
T1D	gained_vs_control	ZIC/2	palmitate	DA0315	200	137	137.0	0.017719	0.092077	0.4237	0.8559150303030303	primary
T1D	gained_vs_control	ZNF136	3-cyt	DA0316	14	12	12.0	0.39098	0.31663	0.10845	0.48000054794520547	exploratory
T1D	gained_vs_control	ZNF136	Ex-4_HG	DA0317	15	11	11.0	-0.18363	0.36668	0.69174	0.9574593991416309	exploratory
T1D	gained_vs_control	ZNF136	IFNg	DA0318	18	13	13.0	-0.34912	0.35966	0.83414	0.9913178169014085	exploratory
T1D	gained_vs_control	ZNF136	dex	DA0319	20	13	13.0	-0.47742	0.33323	0.92402	0.993261980830671	exploratory
T1D	gained_vs_control	ZNF136	palmitate	DA0320	14	11	11.0	0.24693	0.35898	0.24577	0.768829708737864	exploratory
T1D	gained_vs_control	ZNF143	3-cyt	DA0321	123	75	75.0	0.079035	0.12395	0.26186	0.8030373333333333	primary
T1D	gained_vs_control	ZNF143	Ex-4_HG	DA0322	112	73	73.0	0.033571	0.12251	0.39203	0.8559150303030303	primary
T1D	gained_vs_control	ZNF143	IFNg	DA0323	32	23	23.0	-0.059184	0.20039	0.61613	0.9500965258215963	exploratory
T1D	gained_vs_control	ZNF143	dex	DA0324	136	96	96.0	0.08532	0.10795	0.21466	0.7262925773195877	primary
T1D	gained_vs_control	ZNF143	palmitate	DA0325	135	99	99.0	0.073451	0.1211	0.27209	0.8181781481481482	primary
T1D	gained_vs_control	ZNF28	3-cyt	DA0326	11	3	3.0	-0.088574	0.67961	0.55185	0.9254984374999999	insufficient
T1D	gained_vs_control	ZNF28	Ex-4_HG	DA0327	10	3	3.0	-0.94834	0.68867	0.91574	0.993261980830671	insufficient
T1D	gained_vs_control	ZNF28	IFNg	DA0328	7	2	2.0	0.073487	0.84814	0.46548	0.8816738823529411	insufficient
T1D	gained_vs_control	ZNF28	dex	DA0329	3	2	2.0	0.49848	0.54684	0.18101	0.6459107692307693	insufficient
T1D	gained_vs_control	ZNF28	palmitate	DA0330	11	5	5.0	0.13528	0.43749	0.37858	0.8559150303030303	insufficient
T1D	gained_vs_control	ZNF317	3-cyt	DA0331	36	9	9.0	0.26845	0.36481	0.23091	0.7435302	insufficient
T1D	gained_vs_control	ZNF317	Ex-4_HG	DA0332	34	11	11.0	0.43522	0.34532	0.10378	0.4706642253521127	exploratory
T1D	gained_vs_control	ZNF317	IFNg	DA0333	41	14	14.0	-0.1668	0.28597	0.72014	0.9706555833333332	exploratory
T1D	gained_vs_control	ZNF317	dex	DA0334	107	54	54.0	-0.2168	0.16068	0.91136	0.993261980830671	primary
T1D	gained_vs_control	ZNF317	palmitate	DA0335	38	13	13.0	-0.16143	0.32061	0.69269	0.9574593991416309	exploratory
T1D	gained_vs_control	ZNF331	3-cyt	DA0336	179	94	93.0	-0.18537	0.11083	0.95279	0.993261980830671	primary
T1D	gained_vs_control	ZNF331	Ex-4_HG	DA0337	176	79	79.0	-0.081127	0.11766	0.75474	0.9913178169014085	primary
T1D	gained_vs_control	ZNF331	IFNg	DA0338	130	61	61.0	-0.012864	0.1359	0.53771	0.923174	primary
T1D	gained_vs_control	ZNF331	dex	DA0339	337	194	193.0	-0.16745	0.078325	0.98373	0.9956541874999999	primary
T1D	gained_vs_control	ZNF331	palmitate	DA0340	215	112	112.0	0.023982	0.10179	0.40687	0.8559150303030303	primary
T1D	gained_vs_control	ZNF335	3-cyt	DA0341	29	13	13.0	0.089885	0.28907	0.37793	0.8559150303030303	exploratory
T1D	gained_vs_control	ZNF335	Ex-4_HG	DA0342	26	16	16.0	-0.096433	0.26825	0.64038	0.9502412903225805	exploratory
T1D	gained_vs_control	ZNF335	IFNg	DA0343	25	10	10.0	0.36017	0.3415	0.1458	0.5656337349397591	exploratory
T1D	gained_vs_control	ZNF335	dex	DA0344	37	14	14.0	0.080171	0.28936	0.39087	0.8559150303030303	exploratory
T1D	gained_vs_control	ZNF335	palmitate	DA0345	25	12	12.0	0.35201	0.3031	0.12275	0.5179181818181818	exploratory
T1D	gained_vs_control	ZNF436	3-cyt	DA0346	56	31	31.0	0.36974	0.1958	0.0295	0.2797352	primary
T1D	gained_vs_control	ZNF436	Ex-4_HG	DA0347	47	32	32.0	-0.098777	0.18247	0.70586	0.9706555833333332	primary
T1D	gained_vs_control	ZNF436	IFNg	DA0348	42	26	26.0	0.083283	0.21532	0.34946	0.8559150303030303	exploratory
T1D	gained_vs_control	ZNF436	dex	DA0349	41	24	24.0	-0.077475	0.22101	0.63703	0.9502412903225805	exploratory
T1D	gained_vs_control	ZNF436	palmitate	DA0350	59	41	41.0	0.099852	0.16545	0.27309	0.8181781481481482	primary
T1D	gained_vs_control	ZNF563	3-cyt	DA0351	66	41	41.0	-0.0014976	0.15962	0.50374	0.91126	primary
T1D	gained_vs_control	ZNF563	Ex-4_HG	DA0352	50	31	31.0	-0.051629	0.19538	0.6042	0.9444291262135921	primary
T1D	gained_vs_control	ZNF563	IFNg	DA0353	85	57	57.0	0.0029774	0.14335	0.49171	0.9073305084745763	primary
T1D	gained_vs_control	ZNF563	dex	DA0354	14	11	11.0	0.36227	0.26988	0.089751	0.45830400000000004	exploratory
T1D	gained_vs_control	ZNF563	palmitate	DA0355	88	59	59.0	-0.11597	0.14165	0.79353	0.9913178169014085	primary
T1D	gained_vs_control	ZNF708	3-cyt	DA0356	0	0						insufficient
T1D	gained_vs_control	ZNF708	Ex-4_HG	DA0357	0	0						insufficient
T1D	gained_vs_control	ZNF708	IFNg	DA0358	1	0						insufficient
T1D	gained_vs_control	ZNF708	dex	DA0359	0	0						insufficient
T1D	gained_vs_control	ZNF708	palmitate	DA0360	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	AP1/1	3-cyt	DA0001	240	114	112.0	-0.036866	0.12872	0.61271	0.7366288764044944	primary
T2D Suzuki 2024	gained_vs_control	AP1/1	Ex-4_HG	DA0002	230	122	121.0	-0.080974	0.12267	0.7454	0.8267188965517241	primary
T2D Suzuki 2024	gained_vs_control	AP1/1	IFNg	DA0003	199	112	108.0	0.19471	0.1249	0.059512	0.19103352	primary
T2D Suzuki 2024	gained_vs_control	AP1/1	dex	DA0004	113	61	60.0	0.17346	0.17667	0.1631	0.3421901960784314	primary
T2D Suzuki 2024	gained_vs_control	AP1/1	palmitate	DA0005	702	377	365.0	0.069696	0.071814	0.1659	0.3458045454545454	primary
T2D Suzuki 2024	gained_vs_control	AP1/2	3-cyt	DA0006	238	121	119.0	0.06113	0.12384	0.31079	0.4938791584158416	primary
T2D Suzuki 2024	gained_vs_control	AP1/2	Ex-4_HG	DA0007	252	131	128.0	-0.087944	0.12177	0.76492	0.8408880821917808	primary
T2D Suzuki 2024	gained_vs_control	AP1/2	IFNg	DA0008	149	70	69.0	-0.08759	0.15908	0.70905	0.8042581272084804	primary
T2D Suzuki 2024	gained_vs_control	AP1/2	dex	DA0009	175	103	103.0	0.087925	0.1327	0.25379	0.43333292553191494	primary
T2D Suzuki 2024	gained_vs_control	AP1/2	palmitate	DA0010	400	202	196.0	-0.025832	0.099262	0.60266	0.7300145660377358	primary
T2D Suzuki 2024	gained_vs_control	BCL6/1	3-cyt	DA0011	16	13	13.0	-0.03962	0.3716	0.54245	0.6993030120481928	exploratory
T2D Suzuki 2024	gained_vs_control	BCL6/1	Ex-4_HG	DA0012	16	13	12.0	0.056807	0.37041	0.43906	0.612775043478261	exploratory
T2D Suzuki 2024	gained_vs_control	BCL6/1	IFNg	DA0013	9	7	7.0	0.53909	0.50814	0.14437	0.32182479166666667	insufficient
T2D Suzuki 2024	gained_vs_control	BCL6/1	dex	DA0014	11	9	8.0	0.12434	0.44924	0.39098	0.5730802739726027	insufficient
T2D Suzuki 2024	gained_vs_control	BCL6/1	palmitate	DA0015	15	11	11.0	0.11123	0.37897	0.38457	0.5688800460829494	exploratory
T2D Suzuki 2024	gained_vs_control	CCAAT/CEBP	3-cyt	DA0016	21	8	8.0	0.80275	0.57066	0.079766	0.22460426315789475	insufficient
T2D Suzuki 2024	gained_vs_control	CCAAT/CEBP	Ex-4_HG	DA0017	41	19	19.0	0.10211	0.41088	0.40187	0.5807221076233184	exploratory
T2D Suzuki 2024	gained_vs_control	CCAAT/CEBP	IFNg	DA0018	3	3	3.0	-0.96414	1.1994	0.78925	0.8530277777777778	insufficient
T2D Suzuki 2024	gained_vs_control	CCAAT/CEBP	dex	DA0019	51	26	25.0	0.49551	0.28725	0.042271	0.14748903260869567	exploratory
T2D Suzuki 2024	gained_vs_control	CCAAT/CEBP	palmitate	DA0020	12	5	5.0	-0.55972	0.66129	0.80133	0.8561635215946843	insufficient
T2D Suzuki 2024	gained_vs_control	CPEB1	3-cyt	DA0021	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	CPEB1	Ex-4_HG	DA0022	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	CPEB1	IFNg	DA0023	3	0						insufficient
T2D Suzuki 2024	gained_vs_control	CPEB1	dex	DA0024	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	CPEB1	palmitate	DA0025	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	CREB/ATF/1	3-cyt	DA0026	462	292	285.0	0.22167	0.082778	0.0037078	0.022888534615384613	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/1	Ex-4_HG	DA0027	514	319	306.0	0.26082	0.077631	0.00039105	0.003303343421052632	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/1	IFNg	DA0028	592	365	354.0	0.25785	0.071703	0.00016199	0.0015757209090909092	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/1	dex	DA0029	444	279	270.0	0.25917	0.083404	0.00094542	0.007225710000000001	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/1	palmitate	DA0030	437	282	275.0	0.24163	0.083933	0.0019986	0.013946752173913045	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/2	3-cyt	DA0031	282	162	154.0	0.0035881	0.11714	0.48778	0.65240575	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/2	Ex-4_HG	DA0032	258	156	153.0	0.0046304	0.11279	0.48363	0.6495616317991632	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/2	IFNg	DA0033	193	111	107.0	0.16672	0.13551	0.10929	0.274078828125	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/2	dex	DA0034	277	151	146.0	0.035401	0.11938	0.38341	0.5688800460829494	primary
T2D Suzuki 2024	gained_vs_control	CREB/ATF/2	palmitate	DA0035	180	108	105.0	0.17671	0.13745	0.099289	0.25703039516129034	primary
T2D Suzuki 2024	gained_vs_control	CTCF	3-cyt	DA0036	2328	1543	1492.0	0.10244	0.03781	0.0033755	0.021245794117647057	primary
T2D Suzuki 2024	gained_vs_control	CTCF	Ex-4_HG	DA0037	2536	1720	1668.0	0.12465	0.036046	0.00027275	0.0024320208333333333	primary
T2D Suzuki 2024	gained_vs_control	CTCF	IFNg	DA0038	1764	1199	1171.0	0.1055	0.042547	0.0065828	0.034081916129032254	primary
T2D Suzuki 2024	gained_vs_control	CTCF	dex	DA0039	3234	2174	2117.0	0.15208	0.032623	1.5815e-06	3.6261535714285714e-05	primary
T2D Suzuki 2024	gained_vs_control	CTCF	palmitate	DA0040	2856	1894	1839.0	0.15364	0.034921	5.4571e-06	0.00010304288823529411	primary
T2D Suzuki 2024	gained_vs_control	CUX/4	3-cyt	DA0041	2	0						insufficient
T2D Suzuki 2024	gained_vs_control	CUX/4	Ex-4_HG	DA0042	2	1						insufficient
T2D Suzuki 2024	gained_vs_control	CUX/4	IFNg	DA0043	1	1						insufficient
T2D Suzuki 2024	gained_vs_control	CUX/4	dex	DA0044	2	2	2.0	-1.9356	0.99296	0.97436	0.9866547634069401	insufficient
T2D Suzuki 2024	gained_vs_control	CUX/4	palmitate	DA0045	3	1						insufficient
T2D Suzuki 2024	gained_vs_control	E2F/3	3-cyt	DA0046	347	207	197.0	0.098095	0.099454	0.16199	0.34209730263157895	primary
T2D Suzuki 2024	gained_vs_control	E2F/3	Ex-4_HG	DA0047	409	232	226.0	0.19701	0.092771	0.016859	0.07215652	primary
T2D Suzuki 2024	gained_vs_control	E2F/3	IFNg	DA0048	356	209	205.0	0.10279	0.098504	0.14836	0.3284383448275862	primary
T2D Suzuki 2024	gained_vs_control	E2F/3	dex	DA0049	313	181	172.0	0.10682	0.10515	0.15484	0.3337322818791946	primary
T2D Suzuki 2024	gained_vs_control	E2F/3	palmitate	DA0050	380	232	224.0	0.13505	0.092597	0.07236	0.21309688073394492	primary
T2D Suzuki 2024	gained_vs_control	ETS/1	3-cyt	DA0051	3953	2545	2480.0	0.1591	0.030055	6.0718e-08	2.784354e-06	primary
T2D Suzuki 2024	gained_vs_control	ETS/1	Ex-4_HG	DA0052	3792	2478	2407.0	0.17604	0.030666	4.807e-09	3.8576175e-07	primary
T2D Suzuki 2024	gained_vs_control	ETS/1	IFNg	DA0053	3744	2398	2347.0	0.13463	0.030764	6.074e-06	0.00010831966666666666	primary
T2D Suzuki 2024	gained_vs_control	ETS/1	dex	DA0054	3217	2045	1999.0	0.13862	0.03293	1.2873e-05	0.00017966230434782608	primary
T2D Suzuki 2024	gained_vs_control	ETS/1	palmitate	DA0055	3406	2199	2140.0	0.15056	0.032191	1.4669e-06	3.6261535714285714e-05	primary
T2D Suzuki 2024	gained_vs_control	ETS/2	3-cyt	DA0056	440	283	278.0	0.11069	0.083344	0.092089	0.247755825	primary
T2D Suzuki 2024	gained_vs_control	ETS/2	Ex-4_HG	DA0057	450	283	277.0	0.065973	0.085624	0.22051	0.40680293103448273	primary
T2D Suzuki 2024	gained_vs_control	ETS/2	IFNg	DA0058	451	304	294.0	0.04328	0.082826	0.30065	0.48014253731343276	primary
T2D Suzuki 2024	gained_vs_control	ETS/2	dex	DA0059	297	197	194.0	0.085822	0.10052	0.19663	0.38023030120481927	primary
T2D Suzuki 2024	gained_vs_control	ETS/2	palmitate	DA0060	439	278	273.0	0.093231	0.086211	0.13976	0.31817702127659575	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CACGTG/1	3-cyt	DA0061	527	297	288.0	0.094852	0.081747	0.12297	0.2935128888888889	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CACGTG/1	Ex-4_HG	DA0062	976	568	557.0	0.15241	0.059578	0.0052672	0.029662652631578947	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CACGTG/1	IFNg	DA0063	364	196	193.0	0.14054	0.097931	0.075636	0.22071959999999996	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CACGTG/1	dex	DA0064	616	374	365.0	0.11379	0.072655	0.05867	0.19030760606060607	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CACGTG/1	palmitate	DA0065	684	387	374.0	0.17079	0.073596	0.010162	0.05018464615384615	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CAGATGG	3-cyt	DA0066	805	475	464.0	0.01765	0.064902	0.39283	0.5731746818181819	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CAGATGG	Ex-4_HG	DA0067	941	560	545.0	0.074919	0.059655	0.10459	0.26858712	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CAGATGG	IFNg	DA0068	509	289	279.0	-0.046221	0.079973	0.71835	0.806765034965035	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CAGATGG	dex	DA0069	1286	795	781.0	0.08903	0.050661	0.039437	0.14065863333333334	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CAGATGG	palmitate	DA0070	855	506	494.0	0.080861	0.06198	0.09602	0.2526427868852459	primary
T2D Suzuki 2024	gained_vs_control	Ebox/CATATG	3-cyt	DA0071	18	7	7.0	0.40418	0.55475	0.23314	0.413770773480663	insufficient
