GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T1D	gained_vs_control	CUX/4	palmitate	DA0045	3	1						insufficient
T1D	gained_vs_control	E2F/3	3-cyt	DA0046	347	207	207.0	0.018082	0.074763	0.40445	0.8559150303030303	primary
T1D	gained_vs_control	E2F/3	Ex-4_HG	DA0047	409	232	231.0	0.092634	0.071196	0.09662	0.45830400000000004	primary
T1D	gained_vs_control	E2F/3	IFNg	DA0048	356	209	209.0	0.012935	0.076373	0.43276	0.8559150303030303	primary
T1D	gained_vs_control	E2F/3	dex	DA0049	313	181	181.0	0.037716	0.07791	0.31416	0.8559150303030303	primary
T1D	gained_vs_control	E2F/3	palmitate	DA0050	380	232	232.0	0.0074851	0.070457	0.4577	0.8720674556213018	primary
T1D	gained_vs_control	ETS/1	3-cyt	DA0051	3953	2545	2544.0	0.0432	0.023026	0.030327	0.2797352	primary
T1D	gained_vs_control	ETS/1	Ex-4_HG	DA0052	3792	2478	2476.0	0.034834	0.023443	0.06866	0.4251638461538461	primary
T1D	gained_vs_control	ETS/1	IFNg	DA0053	3744	2398	2397.0	0.028909	0.023784	0.11211	0.48783000000000004	primary
T1D	gained_vs_control	ETS/1	dex	DA0054	3217	2045	2044.0	0.031165	0.025279	0.10882	0.48000054794520547	primary
T1D	gained_vs_control	ETS/1	palmitate	DA0055	3406	2199	2199.0	0.0601	0.02464	0.0073671	0.2156551090909091	primary
T1D	gained_vs_control	ETS/2	3-cyt	DA0056	440	283	283.0	0.11139	0.062264	0.036812	0.3119332631578947	primary
T1D	gained_vs_control	ETS/2	Ex-4_HG	DA0057	450	283	283.0	0.028831	0.065679	0.33035	0.8559150303030303	primary
T1D	gained_vs_control	ETS/2	IFNg	DA0058	451	304	304.0	-0.068964	0.061839	0.86761	0.9913178169014085	primary
T1D	gained_vs_control	ETS/2	dex	DA0059	297	197	197.0	0.015522	0.076706	0.41982	0.8559150303030303	primary
T1D	gained_vs_control	ETS/2	palmitate	DA0060	439	278	278.0	0.012064	0.066668	0.4282	0.8559150303030303	primary
T1D	gained_vs_control	Ebox/CACGTG/1	3-cyt	DA0061	527	297	297.0	-0.064437	0.06379	0.84378	0.9913178169014085	primary
T1D	gained_vs_control	Ebox/CACGTG/1	Ex-4_HG	DA0062	976	568	567.0	0.0090269	0.046787	0.42351	0.8559150303030303	primary
T1D	gained_vs_control	Ebox/CACGTG/1	IFNg	DA0063	364	196	196.0	-0.032474	0.075751	0.66592	0.9574593991416309	primary
T1D	gained_vs_control	Ebox/CACGTG/1	dex	DA0064	616	374	374.0	-0.060667	0.057908	0.85259	0.9913178169014085	primary
T1D	gained_vs_control	Ebox/CACGTG/1	palmitate	DA0065	684	387	387.0	-0.042738	0.056031	0.77719	0.9913178169014085	primary
T1D	gained_vs_control	Ebox/CAGATGG	3-cyt	DA0066	805	475	474.0	0.076813	0.050486	0.064077	0.4165859215686274	primary
T1D	gained_vs_control	Ebox/CAGATGG	Ex-4_HG	DA0067	941	560	559.0	0.035066	0.046784	0.22677	0.7404373737373736	primary
T1D	gained_vs_control	Ebox/CAGATGG	IFNg	DA0068	509	289	288.0	0.13773	0.063012	0.01442	0.2644128421052631	primary
T1D	gained_vs_control	Ebox/CAGATGG	dex	DA0069	1286	795	794.0	-0.009209	0.040056	0.59092	0.9440254634146342	primary
T1D	gained_vs_control	Ebox/CAGATGG	palmitate	DA0070	855	506	505.0	0.0275	0.048595	0.28574	0.82917875	primary
T1D	gained_vs_control	Ebox/CATATG	3-cyt	DA0071	18	7	7.0	-0.37593	0.42867	0.80974	0.9913178169014085	insufficient
T1D	gained_vs_control	Ebox/CATATG	Ex-4_HG	DA0072	18	6	6.0	-0.12158	0.40392	0.61829	0.9500965258215963	insufficient
T1D	gained_vs_control	Ebox/CATATG	IFNg	DA0073	12	2	2.0	-0.26741	0.67315	0.65441	0.9566459728506789	insufficient
T1D	gained_vs_control	Ebox/CATATG	dex	DA0074	11	4	4.0	-0.49215	0.52584	0.82534	0.9913178169014085	insufficient
T1D	gained_vs_control	Ebox/CATATG	palmitate	DA0075	10	4	4.0	-0.16194	0.51547	0.6233	0.9500965258215963	insufficient
T1D	gained_vs_control	FOX/4	3-cyt	DA0076	303	116	116.0	-0.13051	0.097528	0.90957	0.993261980830671	primary
T1D	gained_vs_control	FOX/4	Ex-4_HG	DA0077	250	92	92.0	-0.20019	0.11218	0.96283	0.993261980830671	primary
T1D	gained_vs_control	FOX/4	IFNg	DA0078	317	118	118.0	-0.0022983	0.094769	0.50967	0.9117429999999999	primary
T1D	gained_vs_control	FOX/4	dex	DA0079	298	113	113.0	-0.13147	0.099007	0.90788	0.993261980830671	primary
T1D	gained_vs_control	FOX/4	palmitate	DA0080	273	116	116.0	-0.10994	0.095837	0.87433	0.9913178169014085	primary
T1D	gained_vs_control	FOX/5	3-cyt	DA0081	735	334	334.0	-0.040102	0.058986	0.7517	0.9913178169014085	primary
T1D	gained_vs_control	FOX/5	Ex-4_HG	DA0082	863	417	417.0	-0.089634	0.054632	0.94956	0.993261980830671	primary
T1D	gained_vs_control	FOX/5	IFNg	DA0083	765	378	378.0	-0.045756	0.056064	0.79278	0.9913178169014085	primary
T1D	gained_vs_control	FOX/5	dex	DA0084	849	435	435.0	-0.058688	0.051272	0.87381	0.9913178169014085	primary
T1D	gained_vs_control	FOX/5	palmitate	DA0085	837	413	413.0	-0.044726	0.053852	0.79688	0.9913178169014085	primary
T1D	gained_vs_control	FOX/6	3-cyt	DA0086	248	121	121.0	-0.081528	0.099188	0.79444	0.9913178169014085	primary
T1D	gained_vs_control	FOX/6	Ex-4_HG	DA0087	261	127	127.0	-0.077813	0.093155	0.79822	0.9913178169014085	primary
T1D	gained_vs_control	FOX/6	IFNg	DA0088	261	134	134.0	-0.089981	0.092913	0.83358	0.9913178169014085	primary
T1D	gained_vs_control	FOX/6	dex	DA0089	255	130	130.0	-0.083434	0.095528	0.80877	0.9913178169014085	primary
T1D	gained_vs_control	FOX/6	palmitate	DA0090	291	147	147.0	-0.14611	0.08772	0.9521	0.993261980830671	primary
T1D	gained_vs_control	GATA	3-cyt	DA0091	0	0						insufficient
T1D	gained_vs_control	GATA	Ex-4_HG	DA0092	1	1						insufficient
T1D	gained_vs_control	GATA	IFNg	DA0093	0	0						insufficient
T1D	gained_vs_control	GATA	dex	DA0094	0	0						insufficient
T1D	gained_vs_control	GATA	palmitate	DA0095	0	0						insufficient
T1D	gained_vs_control	GC-tract	3-cyt	DA0096	879	582	582.0	-0.04404	0.04574	0.83218	0.9913178169014085	primary
T1D	gained_vs_control	GC-tract	Ex-4_HG	DA0097	1068	724	724.0	-0.017128	0.041342	0.66067	0.9574593991416309	primary
T1D	gained_vs_control	GC-tract	IFNg	DA0098	693	468	468.0	-0.064573	0.051527	0.89492	0.993261980830671	primary
T1D	gained_vs_control	GC-tract	dex	DA0099	1542	1043	1042.0	-0.03907	0.034697	0.86992	0.9913178169014085	primary
T1D	gained_vs_control	GC-tract	palmitate	DA0100	1335	921	921.0	0.00011457	0.036453	0.49875	0.9073305084745763	primary
T1D	gained_vs_control	GFI	3-cyt	DA0101	8	4	4.0	-0.49164	0.38836	0.89723	0.993261980830671	insufficient
T1D	gained_vs_control	GFI	Ex-4_HG	DA0102	8	4	4.0	0.0045432	0.66279	0.49727	0.9073305084745763	insufficient
