GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T2D_diamante2022	SCTF2491	unsigned_sensitivity	USF1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	193	118	primary	True	unsigned_sensitivity|palmitate|D157	1	114	primary	-0.096902	-0.0076124	0.10559	0.82062	0.862445029239766	0.8912436907730674	
T2D_diamante2022	SCTF2492	unsigned_sensitivity	USF2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	104	81	primary	True	unsigned_sensitivity|palmitate|D158	1	78	primary	-0.04541	-0.0029537	0.13347	0.63315	0.7603323333333333	0.8054537735849056	
T2D_diamante2022	SCTF2493	unsigned_sensitivity	VEZF1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	139	93	primary	True	unsigned_sensitivity|palmitate|D159	1	92	primary	-0.12407	-0.0087612	0.11973	0.84995	0.8743738505747127	0.9006859659781288	
T2D_diamante2022	SCTF2494	unsigned_sensitivity	XBP1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	159	107	primary	True	unsigned_sensitivity|palmitate|D160	1	104	primary	0.095757	0.0071869	0.10785	0.1873	0.48473200000000005	0.5649906484641638	
T2D_diamante2022	SCTF2495	unsigned_sensitivity	YY1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	127	72	primary	True	unsigned_sensitivity|palmitate|D161	1	70	primary	-0.10631	-0.0065519	0.13527	0.78403	0.8505537575757577	0.8743687531806615	
T2D_diamante2022	SCTF2496	unsigned_sensitivity	YY2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	191	109	primary	True	unsigned_sensitivity|palmitate|D162	1	103	primary	-0.02462	-0.001839	0.11029	0.58832	0.7411470138888889	0.7892345440729484	
T2D_diamante2022	SCTF2497	unsigned_sensitivity	ZBTB33	palmitate	empirical_p_condition<0.01; unsigned sensitivity	165	117	primary	True	unsigned_sensitivity|palmitate|D163	1	113	primary	-0.083632	-0.0065412	0.11176	0.77287	0.8487345398773005	0.8686061548387096	
T2D_diamante2022	SCTF2498	unsigned_sensitivity	ZBTB7A	palmitate	empirical_p_condition<0.01; unsigned sensitivity	178	156	primary	True	unsigned_sensitivity|palmitate|D164	1	153	primary	0.12403	0.011276	0.097086	0.10071	0.3825120408163265	0.5092380681818182	
T2D_diamante2022	SCTF2499	unsigned_sensitivity	ZEB1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	189	141	primary	True	unsigned_sensitivity|palmitate|D165	1	136	primary	0.23095	0.019805	0.10632	0.014925	0.22263125000000003	0.39910362295081964	
T2D_diamante2022	SCTF2500	unsigned_sensitivity	ZFP28	palmitate	empirical_p_condition<0.01; unsigned sensitivity	129	82	primary	True	unsigned_sensitivity|palmitate|D166	1	79	primary	0.16736	0.010955	0.12753	0.094721	0.3825120408163265	0.5029581676646707	
T2D_diamante2022	SCTF2501	unsigned_sensitivity	ZNF143	palmitate	empirical_p_condition<0.01; unsigned sensitivity	126	92	primary	True	unsigned_sensitivity|palmitate|D003	2	89	primary	0.18112	0.012581	0.11442	0.056723	0.3825120408163265	0.4646907102803738	
T2D_diamante2022	SCTF2502	unsigned_sensitivity	ZNF263	palmitate	empirical_p_condition<0.01; unsigned sensitivity	116	79	primary	True	unsigned_sensitivity|palmitate|D167	1	77	primary	0.17159	0.011089	0.13334	0.099088	0.3825120408163265	0.5092380681818182	
T2D_diamante2022	SCTF2503	unsigned_sensitivity	ZNF740	palmitate	empirical_p_condition<0.01; unsigned sensitivity	125	86	primary	True	unsigned_sensitivity|palmitate|D168	1	83	primary	0.12682	0.0085079	0.12422	0.15366	0.48254631578947366	0.54116972	
T2D_diamante2022	SCTF2504	unsigned_sensitivity	ZNF76	palmitate	empirical_p_condition<0.01; unsigned sensitivity	179	146	primary	True	unsigned_sensitivity|palmitate|D169	1	142	primary	0.016981	0.0014877	0.093761	0.42814	0.6806290082644628	0.7096000570342206	
T2D_diamante2022	SCTF2505	unsigned_sensitivity	AR	Ex-4_HG	empirical_p_condition<0.01; unsigned sensitivity	96	75	primary	True	unsigned_sensitivity|Ex-4_HG|D008	2	71	primary	0.15584	0.009673	0.14551	0.14209	0.5086822	0.5266399574468085	
T2D_diamante2022	SCTF2506	unsigned_sensitivity	ARID3A	Ex-4_HG	empirical_p_condition<0.01; unsigned sensitivity	128	83	primary	True	unsigned_sensitivity|Ex-4_HG|D003	3	80	primary	0.13525	0.008909	0.13336	0.15526	0.5243686792452831	0.54116972	
T2D_diamante2022	SCTF2507	unsigned_sensitivity	ARID3B	Ex-4_HG	empirical_p_condition<0.01; unsigned sensitivity	132	74	primary	True	unsigned_sensitivity|Ex-4_HG|D021	1	72	primary	0.1912	0.01195	0.142	0.089089	0.4088956666666667	0.5029581676646707	
