GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T1D	SCTF0001	positive	AR	3-cyt	empirical_p_condition<0.01; split by rho sign	98	63	primary	True	positive|3-cyt|D014	1	63	primary	-0.077404	-0.004412	0.13471	0.71722	0.9236142446043164	0.9465113312693498	0.9795244015444017
T1D	SCTF0002	positive	ARID3A	3-cyt	empirical_p_condition<0.01; split by rho sign	59	46	primary	True	positive|3-cyt|D015	1	46	primary	0.14596	0.0071121	0.1569	0.17612	0.7457935555555556	0.8204587878787879	0.9441832587859424
T1D	SCTF0003	positive	ARID3B	3-cyt	empirical_p_condition<0.01; split by rho sign	54	43	primary	True	positive|3-cyt|D016	1	43	primary	0.10673	0.0050286	0.15975	0.25204	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0004	positive	ARNT	3-cyt	empirical_p_condition<0.01; split by rho sign	40	30	primary	True	positive|3-cyt|D017	1	30	primary	0.36875	0.014516	0.18328	0.022119	0.4254680833333333	0.4977071020408163	0.6090138208955224
T1D	SCTF0005	positive	ARX	3-cyt	empirical_p_condition<0.01; split by rho sign	34	32	primary	True	positive|3-cyt|D018	1	31	primary	0.31277	0.012516	0.18945	0.049389	0.5525394375	0.6280511641791044	0.7534067454545454
T1D	SCTF0006	positive	ATF1	3-cyt	empirical_p_condition<0.01; split by rho sign	40	30	primary	True	positive|3-cyt|D019	1	30	primary	0.06947	0.0027348	0.18785	0.35576	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0007	positive	ATF2	3-cyt	empirical_p_condition<0.01; split by rho sign	56	33	primary	True	positive|3-cyt|D001	2	33	primary	-0.28465	-0.011752	0.19037	0.93256	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0008	positive	ATF3	3-cyt	empirical_p_condition<0.01; split by rho sign	74	46	primary	True	positive|3-cyt|D020	1	46	primary	-0.1441	-0.0070216	0.15356	0.82597	0.9636132571428571	0.9754463736263737	0.9841812553321145
T1D	SCTF0009	positive	ATF7	3-cyt	empirical_p_condition<0.01; split by rho sign	97	65	primary	True	positive|3-cyt|D021	1	65	primary	0.010346	0.00059899	0.12263	0.46638	0.8396352999999999	0.9003951351351351	0.9537913734939759
T1D	SCTF0010	positive	BACH1	3-cyt	empirical_p_condition<0.01; split by rho sign	120	89	primary	True	positive|3-cyt|D022	1	89	primary	0.060619	0.004104	0.11284	0.29556	0.7896304477611941	0.8565208163265305	0.9537913734939759
T1D	SCTF0011	positive	BACH2	3-cyt	empirical_p_condition<0.01; split by rho sign	30	23	exploratory	True	positive|3-cyt|D023	1	23	exploratory	0.092839	0.0032007	0.20203	0.32293	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0012	positive	BHLHE40	3-cyt	empirical_p_condition<0.01; split by rho sign	89	39	primary	True	positive|3-cyt|D024	1	39	primary	-0.14762	-0.0066245	0.15757	0.82558	0.9636132571428571	0.9754463736263737	0.9841812553321145
T1D	SCTF0013	positive	BHLHE41	3-cyt	empirical_p_condition<0.01; split by rho sign	138	101	primary	True	positive|3-cyt|D025	1	101	primary	0.12576	0.009067	0.10339	0.11193	0.690878275862069	0.733572	0.8460294594594595
T1D	SCTF0014	positive	BMAL1	3-cyt	empirical_p_condition<0.01; split by rho sign	27	20	exploratory	True	positive|3-cyt|D002	2	20	exploratory	0.27757	0.0089241	0.27154	0.15335	0.71174875	0.8115167701863353	0.9126487372013651
T1D	SCTF0015	positive	CEBPB	3-cyt	empirical_p_condition<0.01; split by rho sign	26	16	exploratory	True	positive|3-cyt|D026	1	16	exploratory	-0.077928	-0.0022412	0.27361	0.6121	0.8627236220472441	0.9215174237288136	0.9663163603603603
T1D	SCTF0016	positive	CEBPD	3-cyt	empirical_p_condition<0.01; split by rho sign	121	81	primary	True	positive|3-cyt|D027	1	81	primary	0.0452	0.0029199	0.11459	0.34663	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0017	positive	CEBPG	3-cyt	empirical_p_condition<0.01; split by rho sign	27	20	exploratory	True	positive|3-cyt|D002	2	20	exploratory	0.27757	0.0089241	0.27154	0.15335	0.71174875	0.8115167701863353	0.9126487372013651
T1D	SCTF0018	positive	CLOCK	3-cyt	empirical_p_condition<0.01; split by rho sign	35	26	exploratory	True	positive|3-cyt|D003	2	26	exploratory	0.07854	0.0028787	0.20616	0.35161	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0019	positive	CPEB1	3-cyt	empirical_p_condition<0.01; split by rho sign	77	50	primary	True	positive|3-cyt|D004	2	50	primary	0.17157	0.008715	0.13775	0.10648	0.6807114285714286	0.7164065116279069	0.8387680184331796
T1D	SCTF0020	positive	CREB1	3-cyt	empirical_p_condition<0.01; split by rho sign	24	16	exploratory	True	positive|3-cyt|D028	1	16	exploratory	-0.21004	-0.0060409	0.25848	0.79177	0.9636132571428571	0.9632796595744682	0.9829684342688332
T1D	SCTF0021	positive	CREB3	3-cyt	empirical_p_condition<0.01; split by rho sign	35	26	exploratory	True	positive|3-cyt|D029	1	26	exploratory	0.33784	0.012383	0.18757	0.035847	0.4709106428571429	0.5762574339622641	0.7076619529411764
T1D	SCTF0022	positive	CREB3L1	3-cyt	empirical_p_condition<0.01; split by rho sign	74	50	primary	True	positive|3-cyt|D030	1	50	primary	0.21749	0.011047	0.15664	0.082505	0.6705262173913044	0.7164065116279069	0.8387680184331796
T1D	SCTF0023	positive	CREB3L2	3-cyt	empirical_p_condition<0.01; split by rho sign	37	37	primary	True	positive|3-cyt|D031	1	37	primary	0.06553	0.0028644	0.15809	0.33925	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0024	positive	CREB5	3-cyt	empirical_p_condition<0.01; split by rho sign	63	43	primary	True	positive|3-cyt|D032	1	43	primary	-0.21932	-0.010333	0.16447	0.9088	0.9636132571428571	0.9866594140127389	0.9841812553321145
T1D	SCTF0025	positive	CREM	3-cyt	empirical_p_condition<0.01; split by rho sign	55	39	primary	True	positive|3-cyt|D033	1	39	primary	0.33246	0.014919	0.17204	0.026661	0.4254680833333333	0.4977071020408163	0.6301008169014085
T1D	SCTF0026	positive	CTCF	3-cyt	empirical_p_condition<0.01; split by rho sign	31	28	exploratory	True	positive|3-cyt|D034	1	28	exploratory	0.23049	0.0087663	0.17844	0.098239	0.6807114285714286	0.7164065116279069	0.8387680184331796
T1D	SCTF0027	positive	CUX2	3-cyt	empirical_p_condition<0.01; split by rho sign	69	46	primary	True	positive|3-cyt|D035	1	46	primary	0.23599	0.011499	0.1536	0.062232	0.6003471578947369	0.7051019220779221	0.7817048115942029
T1D	SCTF0028	positive	DBP	3-cyt	empirical_p_condition<0.01; split by rho sign	71	41	primary	True	positive|3-cyt|D036	1	41	primary	-0.10878	-0.005005	0.16953	0.73945	0.9383507746478874	0.9510091361639823	0.9795244015444017
T1D	SCTF0029	positive	EGR1	3-cyt	empirical_p_condition<0.01; split by rho sign	49	25	exploratory	True	positive|3-cyt|D005	2	24	exploratory	-0.084982	-0.0029928	0.19372	0.66955	0.8877737037037037	0.9246130097087378	0.9676562854686157
T1D	SCTF0030	positive	ELF1	3-cyt	empirical_p_condition<0.01; split by rho sign	59	35	primary	True	positive|3-cyt|D037	1	35	primary	0.063816	0.0027132	0.1751	0.35776	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0031	positive	ELF2	3-cyt	empirical_p_condition<0.01; split by rho sign	70	40	primary	True	positive|3-cyt|D038	1	40	primary	0.10605	0.0048194	0.16232	0.25678	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0032	positive	ELF3	3-cyt	empirical_p_condition<0.01; split by rho sign	18	15	exploratory	True	positive|3-cyt|D039	1	15	exploratory	0.1718	0.0047841	0.27168	0.26358	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0033	positive	ELF4	3-cyt	empirical_p_condition<0.01; split by rho sign	40	32	primary	True	positive|3-cyt|D040	1	32	primary	0.64986	0.026421	0.1832	0.00019513	0.034928270000000004	0.1210905	0.23848575
T1D	SCTF0034	positive	ELK1	3-cyt	empirical_p_condition<0.01; split by rho sign	93	64	primary	True	positive|3-cyt|D041	1	64	primary	-0.033784	-0.0019409	0.12556	0.60606	0.8627236220472441	0.9215174237288136	0.9663163603603603
T1D	SCTF0035	positive	ELK3	3-cyt	empirical_p_condition<0.01; split by rho sign	68	31	primary	True	positive|3-cyt|D042	1	31	primary	-0.3964	-0.015862	0.18996	0.98154	0.9839	0.9992422939068101	0.9922943975903615
T1D	SCTF0036	positive	ELK4	3-cyt	empirical_p_condition<0.01; split by rho sign	115	75	primary	True	positive|3-cyt|D043	1	75	primary	-0.00065688	-4.084e-05	0.1209	0.50217	0.8578029268292683	0.9071388679245285	0.961397519729425
T1D	SCTF0037	positive	ERF	3-cyt	empirical_p_condition<0.01; split by rho sign	31	25	exploratory	True	positive|3-cyt|D044	1	25	exploratory	0.043684	0.0015701	0.2201	0.42134	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0038	positive	ETS1	3-cyt	empirical_p_condition<0.01; split by rho sign	43	32	primary	True	positive|3-cyt|D006	2	32	primary	0.46799	0.019027	0.18354	0.0053935	0.24135912499999998	0.27037468235294115	0.47644602105263156
T1D	SCTF0039	positive	ETS2	3-cyt	empirical_p_condition<0.01; split by rho sign	50	20	exploratory	True	positive|3-cyt|D045	1	20	exploratory	-0.19088	-0.006137	0.24883	0.77848	0.954437808219178	0.9560569452449568	0.980327671641791
T1D	SCTF0040	positive	ETV1	3-cyt	empirical_p_condition<0.01; split by rho sign	66	41	primary	True	positive|3-cyt|D046	1	41	primary	0.03712	0.0017078	0.16139	0.40904	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0041	positive	ETV3	3-cyt	empirical_p_condition<0.01; split by rho sign	22	12	exploratory	True	positive|3-cyt|D007	2	12	exploratory	0.070845	0.0017647	0.31681	0.41153	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0042	positive	ETV4	3-cyt	empirical_p_condition<0.01; split by rho sign	29	24	exploratory	True	positive|3-cyt|D047	1	23	exploratory	0.06328	0.0021816	0.21433	0.38391	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0043	positive	ETV5	3-cyt	empirical_p_condition<0.01; split by rho sign	78	56	primary	True	positive|3-cyt|D048	1	56	primary	0.1314	0.0070627	0.14811	0.18749	0.7457935555555556	0.8204587878787879	0.9461803603603604
T1D	SCTF0044	positive	ETV6	3-cyt	empirical_p_condition<0.01; split by rho sign	104	79	primary	True	positive|3-cyt|D049	1	79	primary	-0.026465	-0.0016885	0.11705	0.58944	0.8578029268292683	0.9215174237288136	0.9663163603603603
T1D	SCTF0045	positive	FEV	3-cyt	empirical_p_condition<0.01; split by rho sign	95	60	primary	True	positive|3-cyt|D050	1	59	primary	0.22088	0.012185	0.13653	0.052863	0.556616294117647	0.6623422941176471	0.7713401217391305
T1D	SCTF0046	positive	FOS	3-cyt	empirical_p_condition<0.01; split by rho sign	83	33	primary	True	positive|3-cyt|D051	1	33	primary	-0.014955	-0.0006174	0.19272	0.53092	0.8578029268292683	0.9125790781563125	0.9654009041980623
T1D	SCTF0047	positive	FOXA1	3-cyt	empirical_p_condition<0.01; split by rho sign	72	42	primary	True	positive|3-cyt|D052	1	42	primary	-0.13946	-0.0064937	0.15998	0.80831	0.9636132571428571	0.9693507172995782	0.9841812553321145
T1D	SCTF0048	positive	FOXA2	3-cyt	empirical_p_condition<0.01; split by rho sign	26	19	exploratory	True	positive|3-cyt|D053	1	19	exploratory	0.16531	0.0051804	0.2446	0.24958	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0049	positive	FOXA3	3-cyt	empirical_p_condition<0.01; split by rho sign	91	71	primary	True	positive|3-cyt|D008	2	71	primary	0.23304	0.014098	0.12246	0.028523	0.4254680833333333	0.4977071020408163	0.6319877894736843
T1D	SCTF0050	positive	FOXJ2	3-cyt	empirical_p_condition<0.01; split by rho sign	26	23	exploratory	True	positive|3-cyt|D054	1	23	exploratory	-0.047697	-0.0016444	0.22768	0.58297	0.8578029268292683	0.9215174237288136	0.9663163603603603
T1D	SCTF0051	positive	FOXJ3	3-cyt	empirical_p_condition<0.01; split by rho sign	50	20	exploratory	True	positive|3-cyt|D055	1	20	exploratory	0.059464	0.0019118	0.22189	0.39436	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0052	positive	FOXK1	3-cyt	empirical_p_condition<0.01; split by rho sign	91	71	primary	True	positive|3-cyt|D008	2	71	primary	0.23304	0.014098	0.12246	0.028523	0.4254680833333333	0.4977071020408163	0.6319877894736843
T1D	SCTF0053	positive	FOXK2	3-cyt	empirical_p_condition<0.01; split by rho sign	64	53	primary	True	positive|3-cyt|D056	1	53	primary	-0.093061	-0.0048665	0.13352	0.75708	0.9476735664335664	0.9510091361639823	0.9797605242868157
T1D	SCTF0054	positive	FOXO1	3-cyt	empirical_p_condition<0.01; split by rho sign	59	37	primary	True	positive|3-cyt|D057	1	37	primary	-0.060911	-0.0026625	0.17231	0.63814	0.8653565151515152	0.9215174237288136	0.9663163603603603
T1D	SCTF0055	positive	FOXO3	3-cyt	empirical_p_condition<0.01; split by rho sign	80	52	primary	True	positive|3-cyt|D058	1	52	primary	-0.13776	-0.007136	0.13206	0.85156	0.9636132571428571	0.9774867741935485	0.9841812553321145
T1D	SCTF0056	positive	FOXO6	3-cyt	empirical_p_condition<0.01; split by rho sign	47	38	primary	True	positive|3-cyt|D059	1	38	primary	0.21475	0.0095128	0.15544	0.083559	0.6705262173913044	0.7164065116279069	0.8387680184331796
T1D	SCTF0057	positive	FOXP1	3-cyt	empirical_p_condition<0.01; split by rho sign	127	83	primary	True	positive|3-cyt|D060	1	83	primary	0.11773	0.0076985	0.11792	0.15905	0.71174875	0.8163289156626506	0.9126487372013651
T1D	SCTF0058	positive	FOXP2	3-cyt	empirical_p_condition<0.01; split by rho sign	23	17	exploratory	True	positive|3-cyt|D061	1	17	exploratory	-0.36923	-0.010945	0.24999	0.93015	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0059	positive	GABPA	3-cyt	empirical_p_condition<0.01; split by rho sign	90	43	primary	True	positive|3-cyt|D062	1	43	primary	0.089589	0.0042209	0.15597	0.28286	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0060	positive	GATA4	3-cyt	empirical_p_condition<0.01; split by rho sign	59	46	primary	True	positive|3-cyt|D063	1	46	primary	0.087779	0.0042772	0.15347	0.28368	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0061	positive	GATA6	3-cyt	empirical_p_condition<0.01; split by rho sign	133	104	primary	True	positive|3-cyt|D064	1	103	primary	-0.10397	-0.0075693	0.10431	0.84054	0.9636132571428571	0.9766525575101488	0.9841812553321145
T1D	SCTF0062	positive	GMEB1	3-cyt	empirical_p_condition<0.01; split by rho sign	62	47	primary	True	positive|3-cyt|D065	1	47	primary	0.033379	0.001644	0.14894	0.41134	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0063	positive	GMEB2	3-cyt	empirical_p_condition<0.01; split by rho sign	125	84	primary	True	positive|3-cyt|D066	1	84	primary	0.085524	0.0056258	0.11518	0.22889	0.7880881818181819	0.8476846753246753	0.9537913734939759
T1D	SCTF0064	positive	HESX1	3-cyt	empirical_p_condition<0.01; split by rho sign	29	17	exploratory	True	positive|3-cyt|D067	1	17	exploratory	0.11698	0.0034678	0.25081	0.32046	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0065	positive	HIC1	3-cyt	empirical_p_condition<0.01; split by rho sign	31	23	exploratory	True	positive|3-cyt|D068	1	23	exploratory	-0.033615	-0.0011589	0.24667	0.5542	0.8578029268292683	0.9205390328820117	0.9663163603603603
T1D	SCTF0066	positive	HIC2	3-cyt	empirical_p_condition<0.01; split by rho sign	38	28	exploratory	True	positive|3-cyt|D069	1	28	exploratory	-0.06758	-0.0025703	0.19599	0.63488	0.8653565151515152	0.9215174237288136	0.9663163603603603
T1D	SCTF0067	positive	HLF	3-cyt	empirical_p_condition<0.01; split by rho sign	64	35	primary	True	positive|3-cyt|D070	1	35	primary	-0.040545	-0.0017238	0.18463	0.58691	0.8578029268292683	0.9215174237288136	0.9663163603603603
T1D	SCTF0068	positive	HNF1A	3-cyt	empirical_p_condition<0.01; split by rho sign	34	29	exploratory	True	positive|3-cyt|D071	1	29	exploratory	0.38807	0.015021	0.18476	0.017852	0.4254680833333333	0.4977071020408163	0.6090138208955224
T1D	SCTF0069	positive	HNF1B	3-cyt	empirical_p_condition<0.01; split by rho sign	74	48	primary	True	positive|3-cyt|D072	1	48	primary	0.16185	0.0080559	0.1425	0.12803	0.71174875	0.7681800000000001	0.8777440650406503
T1D	SCTF0070	positive	HNF4A	3-cyt	empirical_p_condition<0.01; split by rho sign	45	40	primary	True	positive|3-cyt|D073	1	40	primary	0.1672	0.0075983	0.15339	0.13786	0.71174875	0.7973070967741936	0.8982563099630996
T1D	SCTF0071	positive	HNF4G	3-cyt	empirical_p_condition<0.01; split by rho sign	28	18	exploratory	True	positive|3-cyt|D074	1	18	exploratory	0.14953	0.004561	0.25143	0.27603	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0072	positive	ID2	3-cyt	empirical_p_condition<0.01; split by rho sign	54	28	exploratory	True	positive|3-cyt|D075	1	28	exploratory	0.068921	0.0026213	0.18134	0.35195	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0073	positive	IRF2	3-cyt	empirical_p_condition<0.01; split by rho sign	22	17	exploratory	True	positive|3-cyt|D076	1	17	exploratory	0.2575	0.0076334	0.25693	0.15813	0.71174875	0.8163289156626506	0.9126487372013651
T1D	SCTF0074	positive	IRF3	3-cyt	empirical_p_condition<0.01; split by rho sign	41	26	exploratory	True	positive|3-cyt|D077	1	26	exploratory	-0.16941	-0.0062094	0.20381	0.79708	0.9636132571428571	0.9632796595744682	0.9834560588235295
T1D	SCTF0075	positive	IRF7	3-cyt	empirical_p_condition<0.01; split by rho sign	14	11	exploratory	True	positive|3-cyt|D078	1	11	exploratory	0.5594	0.013341	0.36699	0.063724	0.6003471578947369	0.7051019220779221	0.7817048115942029
T1D	SCTF0076	positive	IRF9	3-cyt	empirical_p_condition<0.01; split by rho sign	52	34	primary	True	positive|3-cyt|D079	1	34	primary	-0.13744	-0.0057595	0.18363	0.7729	0.954437808219178	0.9560569452449568	0.980327671641791
T1D	SCTF0077	positive	ISL1	3-cyt	empirical_p_condition<0.01; split by rho sign	76	40	primary	True	positive|3-cyt|D009	2	40	primary	-0.015052	-0.00068404	0.17392	0.53448	0.8578029268292683	0.9125790781563125	0.9654009041980623
T1D	SCTF0078	positive	ISX	3-cyt	empirical_p_condition<0.01; split by rho sign	68	42	primary	True	positive|3-cyt|D080	1	42	primary	0.083063	0.0038678	0.16459	0.3069	0.7946854166666667	0.8774456375838925	0.9537913734939759
T1D	SCTF0079	positive	JDP2	3-cyt	empirical_p_condition<0.01; split by rho sign	43	38	primary	True	positive|3-cyt|D081	1	38	primary	-0.34596	-0.015325	0.17	0.97907	0.9839	0.9990031616766467	0.9908802533172496
T1D	SCTF0080	positive	JUN	3-cyt	empirical_p_condition<0.01; split by rho sign	101	52	primary	True	positive|3-cyt|D082	1	51	primary	-0.22161	-0.011369	0.14364	0.93856	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0081	positive	JUNB	3-cyt	empirical_p_condition<0.01; split by rho sign	49	25	exploratory	True	positive|3-cyt|D005	2	24	exploratory	-0.084982	-0.0029928	0.19372	0.66955	0.8877737037037037	0.9246130097087378	0.9676562854686157
T1D	SCTF0082	positive	JUND	3-cyt	empirical_p_condition<0.01; split by rho sign	83	59	primary	True	positive|3-cyt|D083	1	59	primary	-0.092369	-0.0050956	0.1406	0.74439	0.9383507746478874	0.9510091361639823	0.9795244015444017
T1D	SCTF0083	positive	KLF12	3-cyt	empirical_p_condition<0.01; split by rho sign	38	24	exploratory	True	positive|3-cyt|D010	2	24	exploratory	0.13756	0.0048442	0.23423	0.27852	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0084	positive	KLF13	3-cyt	empirical_p_condition<0.01; split by rho sign	29	25	exploratory	True	positive|3-cyt|D084	1	25	exploratory	-0.32361	-0.011631	0.20916	0.93909	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0085	positive	KLF15	3-cyt	empirical_p_condition<0.01; split by rho sign	37	21	exploratory	True	positive|3-cyt|D085	1	21	exploratory	0.057562	0.0018963	0.24278	0.40629	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0086	positive	KLF16	3-cyt	empirical_p_condition<0.01; split by rho sign	24	20	exploratory	True	positive|3-cyt|D086	1	20	exploratory	-0.0033617	-0.00010808	0.21954	0.50611	0.8578029268292683	0.9071388679245285	0.961397519729425
T1D	SCTF0087	positive	KLF3	3-cyt	empirical_p_condition<0.01; split by rho sign	72	41	primary	True	positive|3-cyt|D087	1	41	primary	-0.03791	-0.0017442	0.17155	0.58745	0.8578029268292683	0.9215174237288136	0.9663163603603603
T1D	SCTF0088	positive	KLF5	3-cyt	empirical_p_condition<0.01; split by rho sign	32	21	exploratory	True	positive|3-cyt|D088	1	21	exploratory	-0.23039	-0.0075901	0.23342	0.83818	0.9636132571428571	0.9766525575101488	0.9841812553321145
T1D	SCTF0089	positive	KLF6	3-cyt	empirical_p_condition<0.01; split by rho sign	99	64	primary	True	positive|3-cyt|D089	1	64	primary	0.078157	0.00449	0.12448	0.26504	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0090	positive	LHX4	3-cyt	empirical_p_condition<0.01; split by rho sign	76	32	primary	True	positive|3-cyt|D090	1	32	primary	-0.21689	-0.0088179	0.18794	0.87575	0.9636132571428571	0.9830553359683795	0.9841812553321145
T1D	SCTF0091	positive	LMX1A	3-cyt	empirical_p_condition<0.01; split by rho sign	56	33	primary	True	positive|3-cyt|D001	2	33	primary	-0.28465	-0.011752	0.19037	0.93256	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0092	positive	LMX1B	3-cyt	empirical_p_condition<0.01; split by rho sign	37	29	exploratory	True	positive|3-cyt|D011	2	29	exploratory	0.043199	0.0016721	0.19849	0.41386	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0093	positive	MAF	3-cyt	empirical_p_condition<0.01; split by rho sign	80	56	primary	True	positive|3-cyt|D091	1	56	primary	0.052451	0.0028192	0.13555	0.3494	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0094	positive	MAFB	3-cyt	empirical_p_condition<0.01; split by rho sign	50	26	exploratory	True	positive|3-cyt|D092	1	26	exploratory	0.27936	0.010239	0.19329	0.074198	0.6640721	0.7164065116279069	0.8245314172185431
T1D	SCTF0095	positive	MAFF	3-cyt	empirical_p_condition<0.01; split by rho sign	38	27	exploratory	True	positive|3-cyt|D093	1	27	exploratory	-0.23922	-0.0089348	0.18281	0.90466	0.9636132571428571	0.9866594140127389	0.9841812553321145
T1D	SCTF0096	positive	MAFG	3-cyt	empirical_p_condition<0.01; split by rho sign	100	67	primary	True	positive|3-cyt|D094	1	67	primary	0.00085354	5.0167e-05	0.12744	0.49733	0.8578029268292683	0.9071388679245285	0.961397519729425
T1D	SCTF0097	positive	MAFK	3-cyt	empirical_p_condition<0.01; split by rho sign	70	44	primary	True	positive|3-cyt|D095	1	44	primary	0.042633	0.0020318	0.14849	0.38702	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0098	positive	MAX	3-cyt	empirical_p_condition<0.01; split by rho sign	81	61	primary	True	positive|3-cyt|D096	1	61	primary	0.040798	0.0022884	0.13569	0.38184	0.7946854166666667	0.9003951351351351	0.9537913734939759
T1D	SCTF0099	positive	MAZ	3-cyt	empirical_p_condition<0.01; split by rho sign	22	16	exploratory	True	positive|3-cyt|D097	1	16	exploratory	-0.018492	-0.00053182	0.26771	0.52753	0.8578029268292683	0.9125790781563125	0.9640192165397171
T1D	SCTF0100	positive	MBD2	3-cyt	empirical_p_condition<0.01; split by rho sign	54	37	primary	True	positive|3-cyt|D098	1	37	primary	-0.35957	-0.015717	0.16786	0.9839	0.9839	0.99956	0.9939700180614088
T1D	SCTF0101	positive	MITF	3-cyt	empirical_p_condition<0.01; split by rho sign	109	68	primary	True	positive|3-cyt|D099	1	68	primary	0.2365	0.014003	0.13221	0.036831	0.4709106428571429	0.5811113333333333	0.7186327674418606
T1D	SCTF0102	positive	MLX	3-cyt	empirical_p_condition<0.01; split by rho sign	87	56	primary	True	positive|3-cyt|D100	1	56	primary	-0.24205	-0.01301	0.13804	0.96023	0.9765975568181818	0.9915755259975816	0.9841812553321145
T1D	SCTF0103	positive	MLXIP	3-cyt	empirical_p_condition<0.01; split by rho sign	32	27	exploratory	True	positive|3-cyt|D101	1	27	exploratory	-0.30995	-0.011577	0.21284	0.92733	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0104	positive	MLXIPL	3-cyt	empirical_p_condition<0.01; split by rho sign	46	40	primary	True	positive|3-cyt|D102	1	40	primary	-0.020943	-0.00095177	0.14661	0.5568	0.8578029268292683	0.9205390328820117	0.9663163603603603
T1D	SCTF0105	positive	MNT	3-cyt	empirical_p_condition<0.01; split by rho sign	80	57	primary	True	positive|3-cyt|D103	1	57	primary	0.10947	0.0059361	0.13409	0.20715	0.7880881818181819	0.8211002764976959	0.9491467914438502
T1D	SCTF0106	positive	MNX1	3-cyt	empirical_p_condition<0.01; split by rho sign	55	33	primary	True	positive|3-cyt|D104	1	33	primary	-0.04259	-0.0017583	0.19154	0.58798	0.8578029268292683	0.9215174237288136	0.9663163603603603
T1D	SCTF0107	positive	NEUROD1	3-cyt	empirical_p_condition<0.01; split by rho sign	37	24	exploratory	True	positive|3-cyt|D105	1	24	exploratory	0.22954	0.0080835	0.21635	0.14436	0.71174875	0.7973070967741936	0.8982563099630996
T1D	SCTF0108	positive	NFE2L2	3-cyt	empirical_p_condition<0.01; split by rho sign	38	24	exploratory	True	positive|3-cyt|D010	2	24	exploratory	0.13756	0.0048442	0.23423	0.27852	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0109	positive	NFIL3	3-cyt	empirical_p_condition<0.01; split by rho sign	74	42	primary	True	positive|3-cyt|D106	1	42	primary	0.36496	0.016994	0.16536	0.01366	0.4254680833333333	0.44762769230769234	0.5742115999999999
T1D	SCTF0110	positive	NFYA	3-cyt	empirical_p_condition<0.01; split by rho sign	114	63	primary	True	positive|3-cyt|D107	1	63	primary	0.071346	0.0040667	0.12899	0.2901	0.7880881818181819	0.853704	0.9537913734939759
T1D	SCTF0111	positive	NFYB	3-cyt	empirical_p_condition<0.01; split by rho sign	45	32	primary	True	positive|3-cyt|D108	1	32	primary	-0.20779	-0.008448	0.18224	0.8729	0.9636132571428571	0.9830553359683795	0.9841812553321145
T1D	SCTF0112	positive	NFYC	3-cyt	empirical_p_condition<0.01; split by rho sign	89	56	primary	True	positive|3-cyt|D109	1	56	primary	0.025564	0.001374	0.1374	0.4262	0.7946854166666667	0.9003951351351351	0.9537913734939759
