frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
AP1/1	AP1	JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	4.459	1.492	0.997	False	0	True
AP1/1	AP1	NF2L1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	NFE2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/2	AP1	BACH1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.652	1.531	1.16	True	1	True
AP1/2	AP1	BACH1+MAFK	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/2	AP1	BACH2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.68	2.549	1.542	True	6	True
AP1/2	AP1	MAF+NFE2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/2	AP1	NF2L2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/2	AP1	NFE2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/2	AP1	NFE2L2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=53)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.312	1.029	0.837	False	0	True
BCL6/1	BCL6	BCL6B	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=169)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CCAAT/CEBP	CCAAT/CEBP	CEBPA	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CCAAT/CEBP	CCAAT/CEBP	CEBPB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.215	3.503	1.821	True	7	True
CCAAT/CEBP	CCAAT/CEBP	CEBPD	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.38	3.596	2.558	True	8	True
CCAAT/CEBP	CCAAT/CEBP	CEBPE	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CCAAT/CEBP	CCAAT/CEBP	CEBPG	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.456	2.102	1.357	True	5	True
CCAAT/CEBP	CCAAT/CEBP	DBP	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.28	2.145	1.481	True	4	True
CCAAT/CEBP	CCAAT/CEBP	HLF	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	4.807	1.886	1.356	True	1	True
CCAAT/CEBP	CCAAT/CEBP	NFIL3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.629	2.499	1.652	True	5	True
CCAAT/CEBP	CCAAT/CEBP	TEF	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=52)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.533	3.0	1.764	True	8	True
CPEB1	CPEB1	CPEB1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=23)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.625	1.537	1.161	True	1	True
CPEB1	CPEB1	HXA13	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=23)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	ATF1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	5.614	1.757	1.053	True	1	True
CREB/ATF/1	CREB/ATF	ATF2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.5	1.069	0.593	False	0	True
CREB/ATF/1	CREB/ATF	ATF3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.141	4.379	2.425	True	12	True
CREB/ATF/1	CREB/ATF	CREB1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.986	0.716	0.393	False	0	True
CREB/ATF/1	CREB/ATF	CREM	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	5.233	1.766	1.287	True	1	True
CREB/ATF/1	CREB/ATF	FOS+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSB+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSB+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSL1+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSL1+JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSL2+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSL2+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	FOSL2+JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	JUN+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
CREB/ATF/1	CREB/ATF	JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=49)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.842	6.729	3.888	True	17	True
