TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
ETV1	IFNg	Hallmark	138	35	101	20749	50	testable	33	0	0.07980066788406061	0.8993622060159596
ETV1	IFNg	Reactome	138	35	101	20749	1816	testable	377	0	0.013718802256172481	1.0
ETV1	dex	GO_BP	191	92	98	20749	5392	testable	853	0	0.001347713200089367	1.0
ETV1	dex	Hallmark	191	92	98	20749	50	testable	30	0	0.015177491803243822	0.758874590162191
ETV1	dex	Reactome	191	92	98	20749	1816	testable	393	0	0.005906589829677453	1.0
ETV1	palmitate	GO_BP	47	21	21	20749	5392	testable	328	0	0.0011270490360503268	1.0
ETV1	palmitate	Hallmark	47	21	21	20749	50	testable	15	0	0.0061960708331693535	0.3098035416584677
ETV1	palmitate	Reactome	47	21	21	20749	1816	testable	202	0	0.005320058394644789	1.0
ETV3	3-cyt	GO_BP	54	22	31	20749	5392	testable	252	0	0.0001384475810931206	0.7465093572541063
ETV3	3-cyt	Hallmark	54	22	31	20749	50	testable	17	0	0.0476287785574812	0.8684387896081267
ETV3	3-cyt	Reactome	54	22	31	20749	1816	testable	196	0	0.00029519025697144496	0.391804006614578
ETV3	Ex-4_HG	GO_BP	168	101	63	20749	5392	testable	1037	0	0.0006112515152562685	1.0
ETV3	Ex-4_HG	Hallmark	168	101	63	20749	50	testable	37	0	0.007774421762110653	0.3837803552254329
ETV3	Ex-4_HG	Reactome	168	101	63	20749	1816	testable	534	0	0.0002702021876182638	0.49068717271476703
ETV3	IFNg	GO_BP	163	117	44	20749	5392	testable	717	0	0.0016649159291601922	1.0
ETV3	IFNg	Hallmark	163	117	44	20749	50	testable	36	0	0.006002324690392934	0.24707104729370247
ETV3	IFNg	Reactome	163	117	44	20749	1816	testable	392	0	0.0032200922645970694	1.0
ETV3	dex	GO_BP	125	61	63	20749	5392	testable	655	0	0.0006180838947970127	1.0
ETV3	dex	Hallmark	125	61	63	20749	50	testable	28	0	0.07573002148484162	1.0
ETV3	dex	Reactome	125	61	63	20749	1816	testable	414	0	0.0008481555131970054	1.0
ETV3	palmitate	GO_BP	187	118	64	20749	5392	testable	716	0	0.0007936306065736699	1.0
ETV3	palmitate	Hallmark	187	118	64	20749	50	testable	31	0	0.007953094685134726	0.3976547342567363
ETV3	palmitate	Reactome	187	118	64	20749	1816	testable	420	0	0.007953094685134726	1.0
ETV4	3-cyt	GO_BP	67	29	37	20749	5392	testable	475	0	0.0001527937737063055	0.5755013695136886
ETV4	3-cyt	Hallmark	67	29	37	20749	50	testable	20	0	0.008067120040183166	0.40335600200915833
ETV4	3-cyt	Reactome	67	29	37	20749	1816	testable	167	0	0.009720763978081564	1.0
ETV4	Ex-4_HG	GO_BP	123	82	37	20749	5392	testable	680	0	0.0005147778858962082	1.0
ETV4	Ex-4_HG	Hallmark	123	82	37	20749	50	testable	33	0	0.008142962994862009	0.40714814974310043
ETV4	Ex-4_HG	Reactome	123	82	37	20749	1816	testable	303	0	0.0007574593136158603	1.0
ETV4	IFNg	GO_BP	10	7	1	20749	5392	testable	114	0	0.00030625074933503694	1.0
ETV4	IFNg	Hallmark	10	7	1	20749	50	testable	8	0	0.014367913951567444	0.46004128670124816
ETV4	IFNg	Reactome	10	7	1	20749	1816	testable	21	0	0.004810111381630942	1.0
ETV4	dex	GO_BP	41	25	15	20749	5392	testable	283	0	0.00013594465845770648	0.6694085632359945
ETV4	dex	Hallmark	41	25	15	20749	50	testable	17	0	0.00380229901066851	0.1901149505334255
ETV4	dex	Reactome	41	25	15	20749	1816	testable	204	0	0.0003414923860642437	0.320270446518609
ETV4	palmitate	GO_BP	197	154	38	20749	5392	testable	1251	0	0.00036599467982444535	0.8624207504477858
ETV4	palmitate	Hallmark	197	154	38	20749	50	testable	42	2	0.000609840691299351	0.030492034564967553
ETV4	palmitate	Reactome	197	154	38	20749	1816	testable	500	2	1.5942412184763209e-06	0.002895142052752999
ETV5	3-cyt	GO_BP	123	78	44	20749	5392	testable	798	0	0.0003445229837459874	1.0
ETV5	3-cyt	Hallmark	123	78	44	20749	50	testable	34	0	0.04554556327517222	0.5459007591571272
ETV5	3-cyt	Reactome	123	78	44	20749	1816	testable	370	0	0.001439825405085389	0.46136381343917926
ETV5	Ex-4_HG	GO_BP	202	156	42	20749	5392	testable	1047	1	1.9154192466548184e-06	0.01032794057796278
ETV5	Ex-4_HG	Hallmark	202	156	42	20749	50	testable	36	0	0.01596839435410246	0.7436614300371192
ETV5	Ex-4_HG	Reactome	202	156	42	20749	1816	testable	508	0	0.0019178505205774273	1.0
ETV5	IFNg	GO_BP	183	79	102	20749	5392	testable	858	0	2.9268131958652493e-05	0.09597667013400502
ETV5	IFNg	Hallmark	183	79	102	20749	50	testable	31	3	1.6243885721571473e-07	8.121942860785736e-06
ETV5	IFNg	Reactome	183	79	102	20749	1816	testable	395	0	0.00022079500326757618	0.4009637259339183
ETV5	dex	GO_BP	197	115	81	20749	5392	testable	1049	0	0.0002673870108462121	0.7163617979373545
ETV5	dex	Hallmark	197	115	81	20749	50	testable	38	0	0.017583464847841797	0.8791732423920898
ETV5	dex	Reactome	197	115	81	20749	1816	testable	555	0	0.0024185711012959703	1.0
ETV5	palmitate	GO_BP	105	43	57	20749	5392	testable	642	0	0.000732076021572338	1.0
ETV5	palmitate	Hallmark	105	43	57	20749	50	testable	23	0	0.07919810111316991	1.0
ETV5	palmitate	Reactome	105	43	57	20749	1816	testable	346	0	7.193027727808513e-05	0.1306253835370026
ETV6	3-cyt	GO_BP	140	104	35	20749	5392	testable	871	9	6.023395451192414e-11	2.605769553623375e-07
ETV6	3-cyt	Hallmark	140	104	35	20749	50	testable	27	5	4.391016397090588e-32	2.195508198545294e-30
ETV6	3-cyt	Reactome	140	104	35	20749	1816	testable	344	5	7.8592068581768e-10	1.427231965444907e-06
ETV6	Ex-4_HG	GO_BP	169	103	62	20749	5392	testable	929	0	2.884766875455571e-05	0.1555466299245644
ETV6	Ex-4_HG	Hallmark	169	103	62	20749	50	testable	30	0	0.0018930233883910233	0.09465116941955116
ETV6	Ex-4_HG	Reactome	169	103	62	20749	1816	testable	412	0	0.0006250133047639408	0.5162956900538198
ETV6	IFNg	GO_BP	164	88	74	20749	5392	testable	752	0	0.00030389004024725363	1.0
ETV6	IFNg	Hallmark	164	88	74	20749	50	testable	26	2	5.291386376547767e-07	2.6456931882738834e-05
ETV6	IFNg	Reactome	164	88	74	20749	1816	testable	356	0	0.00030389004024725363	0.4626999885887178
ETV6	dex	GO_BP	193	102	90	20749	5392	testable	730	0	0.0022155746075156785	1.0
ETV6	dex	Hallmark	193	102	90	20749	50	testable	27	0	0.014683437545637792	0.7341718772818896
ETV6	dex	Reactome	193	102	90	20749	1816	testable	423	0	0.027647521894917742	1.0
ETV6	palmitate	GO_BP	158	119	34	20749	5392	testable	817	0	0.00034227161966887606	0.8963944281289585
ETV6	palmitate	Hallmark	158	119	34	20749	50	testable	32	0	0.028477934220277383	1.0
ETV6	palmitate	Reactome	158	119	34	20749	1816	testable	407	0	0.0015655462831551928	1.0
FEV	3-cyt	GO_BP	137	95	41	20749	5392	testable	719	0	0.00043178912718136605	1.0
FEV	3-cyt	Hallmark	137	95	41	20749	50	testable	27	0	0.0187689269484184	0.93844634742092
FEV	3-cyt	Reactome	137	95	41	20749	1816	testable	547	0	0.000395566122673266	0.718348078774651
FEV	Ex-4_HG	GO_BP	60	36	20	20749	5392	testable	496	0	0.0002921894940676106	0.563652905016016
FEV	Ex-4_HG	Hallmark	60	36	20	20749	50	testable	27	0	0.056714397404244984	0.8079355663331201
FEV	Ex-4_HG	Reactome	60	36	20	20749	1816	testable	248	0	0.0010875098653549712	1.0
FEV	IFNg	GO_BP	100	50	48	20749	5392	testable	549	0	0.0004867368926631337	1.0
FEV	IFNg	Hallmark	100	50	48	20749	50	testable	21	0	0.02608122622337273	0.9154369571198747
FEV	IFNg	Reactome	100	50	48	20749	1816	testable	311	0	0.0017039368804318096	1.0
FEV	dex	GO_BP	169	125	43	20749	5392	testable	768	0	0.0028430379408249987	1.0
FEV	dex	Hallmark	169	125	43	20749	50	testable	24	0	0.0372615405160107	1.0
FEV	dex	Reactome	169	125	43	20749	1816	testable	467	0	0.009088439644524694	1.0
FEV	palmitate	GO_BP	108	68	35	20749	5392	testable	495	0	0.0006094161935799577	1.0
FEV	palmitate	Hallmark	108	68	35	20749	50	testable	20	0	0.044355667817355525	1.0
FEV	palmitate	Reactome	108	68	35	20749	1816	testable	139	0	0.006323533922116106	1.0
FOS	3-cyt	GO_BP	157	83	73	20749	5392	testable	766	0	0.0029525336114217472	1.0
FOS	3-cyt	Hallmark	157	83	73	20749	50	testable	27	0	0.012845411057320408	0.6422705528660204
FOS	3-cyt	Reactome	157	83	73	20749	1816	testable	302	0	0.00016982578330805155	0.30840362248742165
FOS	Ex-4_HG	GO_BP	67	41	22	20749	5392	testable	385	0	1.2902529013348797e-05	0.06957043643997671
FOS	Ex-4_HG	Hallmark	67	41	22	20749	50	testable	27	0	0.0010948033075449644	0.05474016537724822
FOS	Ex-4_HG	Reactome	67	41	22	20749	1816	testable	152	0	0.003721658076827702	1.0
FOS	IFNg	GO_BP	163	110	51	20749	5392	testable	893	0	2.58940418883462e-05	0.09301744138192101
FOS	IFNg	Hallmark	163	110	51	20749	50	testable	39	3	0.00025643735316997117	0.012821867658498558
FOS	IFNg	Reactome	163	110	51	20749	1816	testable	437	0	9.939856571940963e-05	0.1805077953464479
FOS	dex	GO_BP	168	97	70	20749	5392	testable	859	0	0.00038906310537657675	0.9920580369963078
FOS	dex	Hallmark	168	97	70	20749	50	testable	34	1	0.00014661039523121538	0.007330519761560769
FOS	dex	Reactome	168	97	70	20749	1816	testable	410	0	0.001511035288237923	1.0
FOS	palmitate	GO_BP	125	99	21	20749	5392	testable	758	0	0.000984484404657167	1.0
FOS	palmitate	Hallmark	125	99	21	20749	50	testable	33	0	0.021544506906065172	0.9144368116707859
FOS	palmitate	Reactome	125	99	21	20749	1816	testable	431	0	0.0022842257087071164	1.0
FOXA1	3-cyt	GO_BP	126	72	53	20749	5392	testable	782	0	0.00021776665902934573	1.0
FOXA1	3-cyt	Hallmark	126	72	53	20749	50	testable	26	0	0.04122607662322946	1.0
FOXA1	3-cyt	Reactome	126	72	53	20749	1816	testable	328	0	0.020748527841012485	1.0
FOXA1	Ex-4_HG	GO_BP	52	42	6	20749	5392	testable	349	1	1.8402767641176185e-06	0.0099227723121222
FOXA1	Ex-4_HG	Hallmark	52	42	6	20749	50	testable	21	0	0.06031735699859134	0.8451525678413567
FOXA1	Ex-4_HG	Reactome	52	42	6	20749	1816	testable	119	0	0.007499968644459204	1.0
FOXA1	IFNg	GO_BP	181	121	58	20749	5392	testable	881	0	0.00029541795708784633	1.0
FOXA1	IFNg	Hallmark	181	121	58	20749	50	testable	28	0	0.0065509924250978235	0.3275496212548912
FOXA1	IFNg	Reactome	181	121	58	20749	1816	testable	455	0	0.0026494172144420542	1.0
FOXA1	dex	GO_BP	173	115	57	20749	5392	testable	957	0	0.00039056195218670827	1.0
FOXA1	dex	Hallmark	173	115	57	20749	50	testable	28	0	0.04286162859249399	1.0
FOXA1	dex	Reactome	173	115	57	20749	1816	testable	613	0	0.001093744674904318	0.8165331818562873
FOXA1	palmitate	GO_BP	188	95	88	20749	5392	testable	959	0	0.0008020865954343644	1.0
FOXA1	palmitate	Hallmark	188	95	88	20749	50	testable	29	0	0.0037510515597204423	0.18755257798602212
FOXA1	palmitate	Reactome	188	95	88	20749	1816	testable	506	0	0.0027300642550650823	1.0
FOXA2	3-cyt	GO_BP	54	26	27	20749	5392	testable	318	0	0.0017687087242886598	1.0
FOXA2	3-cyt	Hallmark	54	26	27	20749	50	testable	13	0	0.06375152717507318	1.0
FOXA2	3-cyt	Reactome	54	26	27	20749	1816	testable	253	0	0.007229455692621696	1.0
FOXA2	Ex-4_HG	GO_BP	102	52	46	20749	5392	testable	717	0	0.0003543654634080649	1.0
FOXA2	Ex-4_HG	Hallmark	102	52	46	20749	50	testable	29	1	0.0008760184724692585	0.043800923623462926
FOXA2	Ex-4_HG	Reactome	102	52	46	20749	1816	testable	370	0	0.0047282238046735155	1.0
FOXA2	IFNg	GO_BP	91	53	36	20749	5392	testable	839	0	4.3849255314843526e-05	0.11053626138567821
FOXA2	IFNg	Hallmark	91	53	36	20749	50	testable	27	0	0.0091954908312013	0.459774541560065
FOXA2	IFNg	Reactome	91	53	36	20749	1816	testable	295	0	0.0001886167710593078	0.34252805624370297
FOXA2	dex	GO_BP	103	58	44	20749	5392	testable	568	1	6.685636931321255e-06	0.036048954333684206
FOXA2	dex	Hallmark	103	58	44	20749	50	testable	24	0	0.028623511903670393	0.7294044106737437
FOXA2	dex	Reactome	103	58	44	20749	1816	testable	344	0	0.005599525873551459	1.0
FOXA2	palmitate	GO_BP	162	137	20	20749	5392	testable	820	0	0.00019840770420895702	1.0
FOXA2	palmitate	Hallmark	162	137	20	20749	50	testable	35	1	0.0007240741679186597	0.03620370839593298
FOXA2	palmitate	Reactome	162	137	20	20749	1816	testable	360	0	0.0059506203607480775	1.0
FOXA3	3-cyt	GO_BP	153	91	61	20749	5392	testable	1013	0	0.0005462214760665064	1.0
FOXA3	3-cyt	Hallmark	153	91	61	20749	50	testable	20	0	0.002400988313336255	0.12004941566681275
FOXA3	3-cyt	Reactome	153	91	61	20749	1816	testable	429	1	1.0034882477272417e-05	0.01822334657872671
FOXA3	Ex-4_HG	GO_BP	104	63	37	20749	5392	testable	631	0	0.001589305939397452	1.0
FOXA3	Ex-4_HG	Hallmark	104	63	37	20749	50	testable	28	0	0.0644593283765451	1.0
FOXA3	Ex-4_HG	Reactome	104	63	37	20749	1816	testable	317	0	0.002281302090290513	1.0
FOXA3	IFNg	GO_BP	7	4	1	20749	5392	insufficient_lt10	0	0		
FOXA3	IFNg	Hallmark	7	4	1	20749	50	insufficient_lt10	0	0		
FOXA3	IFNg	Reactome	7	4	1	20749	1816	insufficient_lt10	0	0		
FOXA3	dex	GO_BP	149	65	83	20749	5392	testable	641	0	0.0005050206917770592	1.0
FOXA3	dex	Hallmark	149	65	83	20749	50	testable	27	0	0.02945697246870011	1.0
FOXA3	dex	Reactome	149	65	83	20749	1816	testable	299	0	0.0032248351954933642	1.0
FOXA3	palmitate	GO_BP	160	119	36	20749	5392	testable	853	0	0.00178955190653548	1.0
FOXA3	palmitate	Hallmark	160	119	36	20749	50	testable	35	0	0.019703518022579403	0.24311629940121912
FOXA3	palmitate	Reactome	160	119	36	20749	1816	testable	486	2	1.8399319981668364e-05	0.020807088843386848
FOXJ2	3-cyt	GO_BP	52	26	25	20749	5392	testable	293	0	0.0015438965429064202	1.0
FOXJ2	3-cyt	Hallmark	52	26	25	20749	50	testable	11	0	0.0054483089490923045	0.2724154474546152
FOXJ2	3-cyt	Reactome	52	26	25	20749	1816	testable	178	0	0.0067191136404228455	1.0
FOXJ2	Ex-4_HG	GO_BP	150	61	85	20749	5392	testable	777	0	0.0006704723962306855	1.0
FOXJ2	Ex-4_HG	Hallmark	150	61	85	20749	50	testable	29	0	0.029146765128193648	1.0
FOXJ2	Ex-4_HG	Reactome	150	61	85	20749	1816	testable	288	0	0.004836806722325745	1.0
FOXJ2	IFNg	GO_BP	72	43	27	20749	5392	testable	455	0	0.0004197329985943071	1.0
FOXJ2	IFNg	Hallmark	72	43	27	20749	50	testable	20	0	0.03675810816882135	0.7647644586727529
FOXJ2	IFNg	Reactome	72	43	27	20749	1816	testable	358	0	0.0034469119192831335	1.0
FOXJ2	dex	GO_BP	166	109	56	20749	5392	testable	697	0	0.0012768169001090993	1.0
FOXJ2	dex	Hallmark	166	109	56	20749	50	testable	22	0	0.11918834700844647	1.0
FOXJ2	dex	Reactome	166	109	56	20749	1816	testable	281	0	0.0062386345882445285	1.0
FOXJ2	palmitate	GO_BP	154	26	123	20749	5392	testable	811	0	0.00017086893466886942	0.9213252957345439
FOXJ2	palmitate	Hallmark	154	26	123	20749	50	testable	31	0	0.006791631931562081	0.33958159657810405
FOXJ2	palmitate	Reactome	154	26	123	20749	1816	testable	389	0	0.0015473642216919724	1.0
FOXJ3	3-cyt	GO_BP	103	50	52	20749	5392	testable	537	0	0.0015592431763850779	1.0
FOXJ3	3-cyt	Hallmark	103	50	52	20749	50	testable	21	0	0.009696687287650031	0.48483436438250155
FOXJ3	3-cyt	Reactome	103	50	52	20749	1816	testable	255	0	0.004818920243586007	1.0
FOXJ3	Ex-4_HG	GO_BP	130	66	60	20749	5392	testable	617	0	0.00041991759532840307	1.0
FOXJ3	Ex-4_HG	Hallmark	130	66	60	20749	50	testable	27	0	0.0026374157994646756	0.07542566024245628
FOXJ3	Ex-4_HG	Reactome	130	66	60	20749	1816	testable	475	0	0.0035878492374890494	1.0
FOXJ3	IFNg	GO_BP	10	4	4	20749	5392	testable	67	0	0.0001534460548858801	0.8256520202072596
FOXJ3	IFNg	Hallmark	10	4	4	20749	50	testable	8	0	0.02478601056214325	0.46004128670124816
FOXJ3	IFNg	Reactome	10	4	4	20749	1816	testable	15	0	0.004810111381630942	1.0
FOXJ3	dex	GO_BP	157	109	47	20749	5392	testable	601	0	0.0008365192140764474	1.0
FOXJ3	dex	Hallmark	157	109	47	20749	50	testable	25	0	0.03549447596951193	0.9195977159244513
FOXJ3	dex	Reactome	157	109	47	20749	1816	testable	267	0	0.006367819386820547	1.0
FOXJ3	palmitate	GO_BP	89	44	40	20749	5392	testable	530	0	0.00018040683820784502	0.48637683580835017
FOXJ3	palmitate	Hallmark	89	44	40	20749	50	testable	20	0	0.052881964587730375	1.0
FOXJ3	palmitate	Reactome	89	44	40	20749	1816	testable	188	0	0.00037674140829858205	0.684162397470225
FOXK1	3-cyt	GO_BP	153	91	61	20749	5392	testable	1013	0	0.0005462214760665064	1.0
FOXK1	3-cyt	Hallmark	153	91	61	20749	50	testable	20	0	0.002400988313336255	0.12004941566681275
FOXK1	3-cyt	Reactome	153	91	61	20749	1816	testable	429	1	1.0034882477272417e-05	0.01822334657872671
FOXK1	Ex-4_HG	GO_BP	63	38	21	20749	5392	testable	584	0	0.0016641863008968192	1.0
FOXK1	Ex-4_HG	Hallmark	63	38	21	20749	50	testable	23	0	0.010715635597305926	0.43912748895612885
FOXK1	Ex-4_HG	Reactome	63	38	21	20749	1816	testable	199	0	0.003210356239546804	1.0
FOXK1	IFNg	GO_BP	10	7	1	20749	5392	testable	114	0	0.00030625074933503694	1.0
FOXK1	IFNg	Hallmark	10	7	1	20749	50	testable	8	0	0.014367913951567444	0.46004128670124816
FOXK1	IFNg	Reactome	10	7	1	20749	1816	testable	21	0	0.004810111381630942	1.0
FOXK1	dex	GO_BP	97	84	12	20749	5392	testable	571	0	3.472904096629024e-05	0.09362949444511849
FOXK1	dex	Hallmark	97	84	12	20749	50	testable	15	1	0.00022046958606117945	0.011023479303058973
FOXK1	dex	Reactome	97	84	12	20749	1816	testable	313	0	0.000986985357216313	1.0
FOXK1	palmitate	GO_BP	105	58	42	20749	5392	testable	818	0	0.00017316343614247082	0.5585288234621932
FOXK1	palmitate	Hallmark	105	58	42	20749	50	testable	32	0	0.026540013070849643	0.9672212616592547
FOXK1	palmitate	Reactome	105	58	42	20749	1816	testable	425	0	0.0002570115591785555	0.32573524674969034
FOXK2	3-cyt	GO_BP	121	64	56	20749	5392	testable	674	0	0.003910372206017882	1.0
FOXK2	3-cyt	Hallmark	121	64	56	20749	50	testable	23	0	0.09167809684967267	1.0
FOXK2	3-cyt	Reactome	121	64	56	20749	1816	testable	339	0	0.0004506575631687716	0.8183941347144892
FOXK2	Ex-4_HG	GO_BP	132	69	59	20749	5392	testable	758	0	0.0011941999519231486	1.0
FOXK2	Ex-4_HG	Hallmark	132	69	59	20749	50	testable	23	0	0.07995644539235605	1.0
FOXK2	Ex-4_HG	Reactome	132	69	59	20749	1816	testable	385	0	0.000247906939153128	0.44608734408223494
FOXK2	IFNg	GO_BP	10	7	1	20749	5392	testable	114	0	0.00030625074933503694	1.0
FOXK2	IFNg	Hallmark	10	7	1	20749	50	testable	8	0	0.014367913951567444	0.46004128670124816
FOXK2	IFNg	Reactome	10	7	1	20749	1816	testable	21	0	0.004810111381630942	1.0
FOXK2	dex	GO_BP	84	63	20	20749	5392	testable	360	0	0.004816910788681411	1.0
FOXK2	dex	Hallmark	84	63	20	20749	50	testable	21	0	0.07220448438468023	1.0
FOXK2	dex	Reactome	84	63	20	20749	1816	testable	322	0	0.0029347038127689887	1.0
FOXK2	palmitate	GO_BP	114	88	21	20749	5392	testable	827	0	0.00029601547599603935	1.0
FOXK2	palmitate	Hallmark	114	88	21	20749	50	testable	34	0	0.003418451062346166	0.1709225531173083
FOXK2	palmitate	Reactome	114	88	21	20749	1816	testable	346	0	0.00015443169373140987	0.16185123581907437
FOXO1	3-cyt	GO_BP	209	59	149	20749	5392	testable	1095	0	0.00033785130414185066	0.9868171144643175
FOXO1	3-cyt	Hallmark	209	59	149	20749	50	testable	29	0	0.00756688752767635	0.3783443763838175
FOXO1	3-cyt	Reactome	209	59	149	20749	1816	testable	440	0	0.008484992869060409	1.0
FOXO1	Ex-4_HG	GO_BP	145	65	76	20749	5392	testable	717	0	0.0025595116987506307	1.0
FOXO1	Ex-4_HG	Hallmark	145	65	76	20749	50	testable	29	0	0.014236568667355955	0.6681334522474688
FOXO1	Ex-4_HG	Reactome	145	65	76	20749	1816	testable	306	0	0.00479765185402093	1.0
FOXO1	IFNg	GO_BP	206	63	141	20749	5392	testable	814	0	0.001124136051427011	1.0
FOXO1	IFNg	Hallmark	206	63	141	20749	50	testable	35	0	0.013026822995849268	0.2486478061762358
FOXO1	IFNg	Reactome	206	63	141	20749	1816	testable	484	0	0.0020686730772220955	1.0
FOXO1	dex	GO_BP	114	45	68	20749	5392	testable	486	0	0.010958558044983824	1.0
FOXO1	dex	Hallmark	114	45	68	20749	50	testable	25	0	0.020373569418930964	0.9281991997979259
FOXO1	dex	Reactome	114	45	68	20749	1816	testable	218	0	0.005494240686297937	1.0
FOXO1	palmitate	GO_BP	117	41	71	20749	5392	testable	662	0	0.0006499163991978505	1.0
FOXO1	palmitate	Hallmark	117	41	71	20749	50	testable	30	0	0.013706082481496068	0.5864337525975135
FOXO1	palmitate	Reactome	117	41	71	20749	1816	testable	296	0	0.002361113903092339	1.0
FOXO3	3-cyt	GO_BP	206	80	125	20749	5392	testable	817	0	0.0012921582995403128	1.0
FOXO3	3-cyt	Hallmark	206	80	125	20749	50	testable	35	0	0.08382463145711772	1.0
FOXO3	3-cyt	Reactome	206	80	125	20749	1816	testable	420	0	0.008252092459292343	1.0
FOXO3	Ex-4_HG	GO_BP	108	65	39	20749	5392	testable	656	0	0.00032575062127574204	1.0
FOXO3	Ex-4_HG	Hallmark	108	65	39	20749	50	testable	29	0	0.019799545622499328	0.6292362402464041
FOXO3	Ex-4_HG	Reactome	108	65	39	20749	1816	testable	315	0	0.0009437342774310433	1.0
FOXO3	IFNg	GO_BP	105	37	66	20749	5392	testable	659	0	0.0008633613931699102	1.0
FOXO3	IFNg	Hallmark	105	37	66	20749	50	testable	20	0	0.04626127437692814	1.0
FOXO3	IFNg	Reactome	105	37	66	20749	1816	testable	358	0	0.001619645870795466	1.0
FOXO3	dex	GO_BP	153	66	86	20749	5392	testable	996	0	0.0005323878506544536	1.0
FOXO3	dex	Hallmark	153	66	86	20749	50	testable	29	1	0.0004251188022940293	0.021255940114701465
FOXO3	dex	Reactome	153	66	86	20749	1816	testable	649	0	0.00019553005025030375	0.2601386819953436
FOXO3	palmitate	GO_BP	64	30	29	20749	5392	testable	594	0	0.0002426752799939178	0.8529237733656687
FOXO3	palmitate	Hallmark	64	30	29	20749	50	testable	26	0	0.0028906264140608822	0.1445313207030441
FOXO3	palmitate	Reactome	64	30	29	20749	1816	testable	380	3	4.545465604685489e-07	0.0008254565538108848
FOXO6	3-cyt	GO_BP	80	47	32	20749	5392	testable	408	0	0.001521597127370011	1.0
FOXO6	3-cyt	Hallmark	80	47	32	20749	50	testable	14	0	0.11908955996384346	1.0
FOXO6	3-cyt	Reactome	80	47	32	20749	1816	testable	324	0	0.002011759846620616	1.0
FOXO6	Ex-4_HG	GO_BP	101	60	37	20749	5392	testable	713	0	3.090252675598642e-05	0.16662642426827878
FOXO6	Ex-4_HG	Hallmark	101	60	37	20749	50	testable	23	0	0.013723849519854173	0.6861924759927087
FOXO6	Ex-4_HG	Reactome	101	60	37	20749	1816	testable	393	1	2.1698559978713442e-05	0.03940458492134361
FOXO6	IFNg	GO_BP	9	4	3	20749	5392	insufficient_lt10	0	0		
FOXO6	IFNg	Hallmark	9	4	3	20749	50	insufficient_lt10	0	0		
FOXO6	IFNg	Reactome	9	4	3	20749	1816	insufficient_lt10	0	0		
FOXO6	dex	GO_BP	103	70	32	20749	5392	testable	610	0	0.0018367836820019896	1.0
FOXO6	dex	Hallmark	103	70	32	20749	50	testable	16	0	0.04411824069678107	1.0
FOXO6	dex	Reactome	103	70	32	20749	1816	testable	335	0	0.0013035858618986739	1.0
FOXO6	palmitate	GO_BP	190	90	95	20749	5392	testable	696	0	0.0008932820669507259	1.0
FOXO6	palmitate	Hallmark	190	90	95	20749	50	testable	28	0	0.03833286666914772	0.8783272066060792
FOXO6	palmitate	Reactome	190	90	95	20749	1816	testable	383	0	0.0028930758496230487	1.0
FOXP1	3-cyt	GO_BP	196	127	68	20749	5392	testable	1007	0	0.00026272199689354427	0.9396278702728807
FOXP1	3-cyt	Hallmark	196	127	68	20749	50	testable	35	4	3.5951500317773005e-15	1.7975750158886502e-13
FOXP1	3-cyt	Reactome	196	127	68	20749	1816	testable	594	5	1.3526236115651065e-06	0.0024563644786022333
FOXP1	Ex-4_HG	GO_BP	156	82	70	20749	5392	testable	888	0	0.00010319756590312314	0.4332654187363509
FOXP1	Ex-4_HG	Hallmark	156	82	70	20749	50	testable	33	0	0.03044962496765475	0.46029634286877924
FOXP1	Ex-4_HG	Reactome	156	82	70	20749	1816	testable	418	0	0.00010542523629442341	0.19145222911067292
FOXP1	IFNg	GO_BP	122	25	95	20749	5392	testable	864	0	1.086997499511061e-05	0.05861090517363641
FOXP1	IFNg	Hallmark	122	25	95	20749	50	testable	36	1	0.0001803472388705696	0.009017361943528479
FOXP1	IFNg	Reactome	122	25	95	20749	1816	testable	404	0	4.197453542471275e-05	0.07622575633127834
FOXP1	dex	GO_BP	149	100	48	20749	5392	testable	952	0	0.00015499447150336423	0.8357301903461399
FOXP1	dex	Hallmark	149	100	48	20749	50	testable	36	1	0.0005584971607645905	0.027924858038229524
FOXP1	dex	Reactome	149	100	48	20749	1816	testable	443	0	3.6325506090359645e-05	0.06596711906009312
FOXP1	palmitate	GO_BP	155	96	54	20749	5392	testable	646	0	0.0011360794337162104	1.0
FOXP1	palmitate	Hallmark	155	96	54	20749	50	testable	32	0	0.006913566089268129	0.3456783044634064
FOXP1	palmitate	Reactome	155	96	54	20749	1816	testable	432	0	0.006270063007817021	1.0
FOXP2	3-cyt	GO_BP	51	23	27	20749	5392	testable	274	0	0.0002101804365826788	0.56859240267429
FOXP2	3-cyt	Hallmark	51	23	27	20749	50	testable	18	0	0.04648463335131632	0.9504589566801288
FOXP2	3-cyt	Reactome	51	23	27	20749	1816	testable	90	0	0.0006093519232768302	1.0
FOXP2	Ex-4_HG	GO_BP	85	41	40	20749	5392	testable	579	0	0.00034367535892114594	1.0
FOXP2	Ex-4_HG	Hallmark	85	41	40	20749	50	testable	25	0	0.024181610629579832	0.798142626948944
FOXP2	Ex-4_HG	Reactome	85	41	40	20749	1816	testable	209	0	0.0032278649803187485	1.0
